pair_name,feature1,feature2,bin_10,bin_50,bin_100,bin_200,bin_300,bin_400,bin_500
pair_1_H2AK5ac_vs_H2BK12ac,H2AK5ac,H2BK12ac,1.5447519191697694,3.586352427395801,4.425083669615037,5.192682170060046,5.628143992987101,5.907393131210507,6.131193538412218
pair_2_H2A.H4R3me2_vs_H4K5ac,H2A.H4R3me2,H4K5ac,1.1582383357833552,2.6502606635867223,3.329701202201255,3.9642846982351765,4.340979678942885,4.57226807284598,4.771540426561434
pair_3_H3K4me1_vs_H2AZ,H3K4me1,H2AZ,3.8785984343837416,7.69710357198174,9.200465628416012,10.741184458638665,11.522188139341882,12.09932524395432,12.483776483996213
pair_4_H3R2me1_vs_H3R2me2,H3R2me1,H3R2me2,0.5134544537195478,4.347608656184571,5.6447854320903845,6.862996546267367,7.719877921079023,8.159331453258693,8.507595331682378
pair_5_H3K14ac_vs_H2BK12ac,H3K14ac,H2BK12ac,1.0954965645419665,2.7271698819688086,3.4456399549143306,4.124750766051219,4.526496300360961,4.7750724331440475,4.981361323763491
pair_6_H3K9me3_vs_H2BK5ac,H3K9me3,H2BK5ac,1.017588227872397,1.7834838106068687,2.1408020114432365,2.4826460742981946,2.669777446299413,2.8029314773412195,2.902511264251042
pair_7_H3K36me3_vs_H3K4me2,H3K36me3,H3K4me2,1.957658548756042,3.9671759329421574,4.821492325368795,5.615993692729501,6.069746123098149,6.354209337302187,6.575861172649444
pair_8_H3K27me1_vs_H4K20me3,H3K27me1,H4K20me3,1.1813829260442403,4.501676179702428,5.687522974634442,6.979502613396355,7.66316684700808,8.156797107254691,8.483404321154817
pair_9_H3K36ac_vs_H3K27me1,H3K36ac,H3K27me1,2.087143115844266,6.430889354740158,8.098948948713893,9.69141732443524,10.696380924235863,11.284735453906134,11.773763118524828
pair_10_H3K27me3_vs_H3K4me1,H3K27me3,H3K4me1,1.631599261621442,2.942881182760774,3.507477962726076,4.031645324606122,4.325282445209914,4.518371849700331,4.6594012122916535
