,H4K12ac_H4K8ac,H3K23ac_H2AK5ac,H3K23ac_H3K9ac,H3K23ac_H3K56ac,H3K23ac_H3K27ac,H3K14ac_H2AK5ac,H3K14ac_H3K9ac,H3K14ac_H3K56ac,H2AK5ac_H3K18ac,H3K18ac_H3K9ac,H3K18ac_H3K56ac,H3K18ac_H3K4me3,H3K9ac_H3K56ac,H3K9ac_H3K27ac,H3K56ac_H3K27ac
H4K5ac,0.6990317240170043,,,,,,,,,,,,,,
H3K4ac,,0.6356657827909835,0.869715998362409,0.8987982027950494,0.5365690920532913,0.6266040368014636,0.6684437165101187,0.7989311520717592,0.5690444662222962,0.8365858787500695,0.8934079112433224,,,0.5331375774856113,0.5715656577336841
H3K23ac,,,,,,0.6671792429656058,0.6828294437708742,0.7773478832832534,0.6149339996787582,0.7164416304991601,0.7609717673743148,,0.8167861031691963,,0.5138483955254465
H3K14ac,,,,,,,,,0.6397008664638903,0.6438600253144493,0.733217202373833,0.6680520002878154,0.6787571384468052,,
H3K18ac,,,,,,,,,,,,,0.8191539842437905,,
H3K9ac,,,,,,,,,,,,,,,0.5728080078964695
