,H3K23ac_H3K14ac,H3K23ac_H3K18ac,H3K14ac_H3K18ac,H3K9ac_H3K56ac
H3K4ac,1.095657436231562,0.9946808652544464,1.0116845788508595,1.1991599427894606
H3K23ac,,,1.118772980530716,
