,H4K12ac_H3K79me,H4K12ac_H3S10ph,H4K12ac_H3K4me,H4K12ac_H4K20me,H4K12ac_H3K36me,H4K12ac_H3K36me2,H4K12ac_H4K16ac,H4K8ac_H3K79me,H4K8ac_H3S10ph,H4K8ac_H3K4me,H4K8ac_H4K20me,H4K8ac_H3K36me,H4K8ac_H3K36me2,H4K8ac_H4K16ac,H3K4ac_H3K4me3,H3K4ac_H3K4me2,H3K4ac_Htz1,H3K4ac_H3K79me,H3K4ac_H3K79me3,H3K4ac_H3K36me3,H3K23ac_H3K4me3,H3K23ac_H3K4me2,H3K23ac_Htz1,H3K23ac_H3K79me,H3K23ac_H3S10ph,H3K23ac_H3K4me,H3K23ac_H4K20me,H3K23ac_H3K36me,H3K23ac_H4K16ac,H3K23ac_H3K79me3,H3K23ac_H3K36me3,H3K23ac_H4R3me,H3K23ac_H2AS129ph,H3K14ac_H3K4me3,H3K14ac_H3K4me2,H3K14ac_Htz1,H3K14ac_H3K79me,H3K14ac_H3S10ph,H3K14ac_H3K4me,H3K14ac_H3K36me,H3K14ac_H4K16ac,H3K14ac_H3K79me3,H3K14ac_H3K36me3,H3K14ac_H2AS129ph,H2AK5ac_H3K4me3,H2AK5ac_H3K4me2,H2AK5ac_H3K79me,H2AK5ac_H3K4me,H2AK5ac_H4K20me,H2AK5ac_H3K36me,H2AK5ac_H3K36me2,H2AK5ac_H3K79me3,H3K18ac_H3K4me3,H3K18ac_H3K4me2,H3K18ac_Htz1,H3K18ac_H3K79me,H3K18ac_H3K4me,H3K18ac_H4K20me,H3K18ac_H3K36me,H3K18ac_H3K36me2,H3K18ac_H3K79me3,H3K18ac_H3K36me3,H3K18ac_H4R3me2s,H3K18ac_H4R3me,H3K18ac_H2AS129ph,H3K9ac_H3K4me2,H3K9ac_Htz1,H3K9ac_H3K79me,H3K9ac_H3K4me,H3K9ac_H4K20me,H3K9ac_H3K36me,H3K9ac_H3K36me2,H3K9ac_H4K16ac,H3K9ac_H3K79me3,H3K9ac_H3K36me3,H3K9ac_H4R3me2s,H3K9ac_H4R3me,H3K9ac_H2AS129ph,H3K56ac_H3K4me3,H3K56ac_H3K4me2,H3K56ac_Htz1,H3K56ac_H3K79me,H3K56ac_H3S10ph,H3K56ac_H3K4me,H3K56ac_H4K20me,H3K56ac_H3K36me,H3K56ac_H3K36me2,H3K56ac_H4K16ac,H3K56ac_H3K79me3,H3K56ac_H3K36me3,H3K56ac_H4R3me2s,H3K56ac_H4R3me,H3K56ac_H2AS129ph,H3K27ac_H3K4me3,H3K27ac_H3K4me2,H3K27ac_Htz1,H3K27ac_H3K79me,H3K27ac_H3S10ph,H3K27ac_H3K4me,H3K27ac_H4K20me,H3K27ac_H3K36me,H3K27ac_H3K36me2,H3K27ac_H4K16ac,H3K27ac_H3K79me3,H3K27ac_H3K36me3,H3K27ac_H4R3me2s,H3K27ac_H4R3me,H3K4me3_H3K4me2,H3K4me3_H3K4me,H3K4me3_H4K20me,H3K4me3_H3K36me2,H3K4me3_H4R3me2s,H3K4me3_H4R3me,H3K4me2_H3K36me2,Htz1_H3K79me,Htz1_H4K20me,Htz1_H3K36me,Htz1_H3K79me3,Htz1_H3K36me3,Htz1_H4R3me2s,Htz1_H4R3me,H3K79me_H3K36me,H3K79me_H3K79me3,H3K79me_H3K36me3,H3K79me_H4R3me,H3K4me_H4K20me,H3K4me_H4R3me2s,H3K4me_H4R3me,H4K20me_H3K36me,H4K20me_H3K36me2,H4K20me_H3K79me3,H4K20me_H3K36me3,H4K20me_H4R3me2s,H4K20me_H4R3me,H3K36me_H3K36me2,H3K36me_H4K16ac,H3K36me_H3K79me3,H3K36me_H3K36me3,H3K36me_H4R3me2s,H3K36me_H4R3me,H3K36me2_H4K16ac,H3K36me2_H3K79me3,H3K36me2_H3K36me3,H3K36me2_H4R3me2s,H3K36me2_H4R3me,H4K16ac_H3K79me3,H4K16ac_H4R3me2s,H4K16ac_H4R3me,H3K79me3_H3K36me3,H3K79me3_H4R3me2s,H3K79me3_H4R3me,H3K36me3_H4R3me2s,H3K36me3_H4R3me,H4R3me2s_H4R3me
H3K27ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0754141202352602,,,,,,,-0.0599943005096754,,,-0.0767281981152585,-0.0730876283830781,-0.0541052291597115,-0.0612302477967308,-0.0927873700612984,-0.0920158762883041,,-0.0883442006996517,-0.0641067191342728,,,-0.0801849233172067,-0.0999320654581517,,,-0.0931496805834068,-0.0904369641800304,-0.0494265268695972,-0.076936443606332,,,,,-0.09628660884165,,,,,,,,-0.0440059622383124,-0.050841856767807,-0.0684410332773559,-0.0891046123664498,-0.0952697601154461,-0.0525952573419541
H3K4me3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0584863260946839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0919148332675163
H3K4me2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0164825269704085,,,-0.0973031887658528,-0.0958238366049464,,,,,,,,,,,,,,,,,,,,,,,,
Htz1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0468059636080688,-0.0570417174511401,-0.0750272548061374,-0.0649036571370995,,-0.0782815964899779,-0.0867872970030099,-0.0869124508898373,-0.0984821657771544,-0.0922641248142426,-0.0501810257996275,-0.0395692826264113,-0.07274144176721,,-0.0921812747564168,-0.0677716930238521,-0.0887332203368114,-0.0745342302335423,,,,,-0.0978509700231562,,,,,,,,,
H3K79me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0971064571410664,,,,,,,-0.0853279710571222,,,,,,,,,,,,,,,,,,-0.0623881258107594
H3S10ph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0989338914534929,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3K4me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0280573381148645,,,,,,-0.0463973739556156,-0.0665648668406166,,,,,-0.0466003099383893,,,,,,-0.0738744017004062,-0.0856875816996556,-0.0416256451115497,-0.0523684775713508,-0.0341433990068846,-0.0602204254266869,-0.0439768966133975,
H4K20me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0642533742226163,-0.0871042525800867,,,,-0.0443737620975515,-0.074943792729579,-0.0511436237802218,,-0.0083498001636623,,,,,,
H3K36me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0867014121132019,-0.097758504526924,-0.0688555772557464,-0.0769832676671402,,,,-0.0518064994288067,-0.0887560143023282,-0.077885965595593,,,-0.0505783521170322
H3K36me2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0131760155006848,,-0.0893237660544095,,,-0.064264674440384
H4K16ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0847401568312893,-0.0749706952047013,,,-0.005765080500085
