triplet_name,feature1,feature2,feature3,bin_10,bin_50,bin_100,bin_200,bin_300,bin_400,bin_500
triplet_1_H2AK5ac_vs_H2BK12ac_vs_H3K4me2,H2AK5ac,H2BK12ac,H3K4me2,2.791643090941118,8.671340845423046,10.780080204816494,12.683238981446948,13.769913798130993,14.323398548081157,14.77111090200393
triplet_2_H3K36me3_vs_H4K12ac_vs_H3K27ac,H3K36me3,H4K12ac,H3K27ac,3.5736884799147246,8.376341333715827,10.935467172299912,13.278849914940105,14.410544156871419,15.12826101624979,15.506552174717742
triplet_3_H3K9me1_vs_H3K36ac_vs_H3K18ac,H3K9me1,H3K36ac,H3K18ac,3.779761339475947,8.994795693875613,11.702405342321217,13.861050580789067,14.885437252077123,15.524428532391713,15.857552883188756
triplet_4_H3K79me2_vs_H3R2me1_vs_H3K9me3,H3K79me2,H3R2me1,H3K9me3,0.27488089996708787,2.847016256101435,3.8811159107038735,5.072926771087265,5.726610215810567,6.056977212108787,6.434573443540758
triplet_5_H3K79me3_vs_H3K36me1_vs_H4K20me1,H3K79me3,H3K36me1,H4K20me1,2.215113201204928,7.669917345428626,9.583391923789712,11.492037448740916,12.6975457630951,13.458569001189137,13.974793338917328
triplet_6_H3K27me1_vs_H4K91ac_vs_H2A.H4R3me2,H3K27me1,H4K91ac,H2A.H4R3me2,2.361069768984158,7.285381198276848,9.848282202695373,12.023740540826946,13.236048939559348,13.930624677412874,14.292810540776168
triplet_7_H3K23ac_vs_H3K4me3_vs_H3K27me3,H3K23ac,H3K4me3,H3K27me3,2.5647989851466644,6.77914227536004,8.910865847960434,10.43431450716174,11.351258163750902,11.929318203174162,12.374438248667834
triplet_8_H2AZ_vs_H2BK20ac_vs_H3K4ac,H2AZ,H2BK20ac,H3K4ac,2.6476663599734462,7.855462042538913,9.978287761730579,11.979127822805864,12.931823140165779,13.432623514196344,13.842898398065016
triplet_9_H2BK5me1_vs_H4K8ac_vs_H2BK5ac,H2BK5me1,H4K8ac,H2BK5ac,2.970627653008159,8.54950872194462,10.809203555678318,12.99599750109742,14.122982337161393,14.69703221957501,15.173948616388863
triplet_10_H3K4me1_vs_H2AK9ac_vs_H3K14ac,H3K4me1,H2AK9ac,H3K14ac,2.2169014522749535,6.041340653918917,8.706338812598233,10.874205480144386,11.814632928650923,12.53806581323575,13.063503071901904
triplet_11_H4K16ac_vs_H3K27me2_vs_H3K9ac,H4K16ac,H3K27me2,H3K9ac,1.1232667221878827,5.158567121383327,7.9068123476721315,9.925498958328893,11.149609522867227,11.868682571802404,12.387032387553065
triplet_12_H3R2me2_vs_H4K20me3_vs_H3K9me2,H3R2me2,H4K20me3,H3K9me2,0.5374148364811905,3.9727486459068415,5.346352576793921,6.906100455785597,7.501970708956638,8.067404396451924,8.341977062291623
triplet_13_H3K79me1_vs_H4K5ac_vs_H2BK120ac,H3K79me1,H4K5ac,H2BK120ac,2.2371957323042237,7.261377741622462,9.861255876274873,12.057314989832806,13.232281437866435,14.106375213047212,14.58718848317693
