pair_name,feature1,feature2,bin_10,bin_50,bin_100,bin_200,bin_300,bin_400,bin_500
pair_1_H2AK5ac_vs_H2BK12ac,H2AK5ac,H2BK12ac,0.8215968657697215,4.5959393894118215,5.819757416747728,7.014205706190869,7.862794397540945,8.35569832705336,8.816813532126385
pair_2_H3K4me2_vs_H3K36me3,H3K4me2,H3K36me3,2.455428333474535,6.035509412611291,7.9594214353438035,9.714132477608912,10.655991547517749,11.311936710819882,11.713892574013665
pair_3_H4K12ac_vs_H3K27ac,H4K12ac,H3K27ac,3.117447792947498,6.547326001923214,8.213074235273723,9.966315538326322,10.965092551841012,11.672380406604503,12.188028060721042
pair_4_H3K9me1_vs_H3K36ac,H3K9me1,H3K36ac,2.2867911125994254,6.325769005984561,8.22889098360059,9.889323666485051,10.847012287878693,11.621731757664369,12.114206794221808
pair_5_H3K18ac_vs_H3K79me2,H3K18ac,H3K79me2,1.7402035811160015,3.6813502887691607,4.716812236822542,5.84162685589773,6.505132329253408,6.91443140567905,7.2658930325329045
pair_6_H3R2me1_vs_H3K9me3,H3R2me1,H3K9me3,0.2678897314572966,2.393294598571553,3.371717732953977,4.342254741203975,4.8593353257776775,5.137956375317595,5.45360394568418
pair_7_H3K79me3_vs_H3K36me1,H3K79me3,H3K36me1,0.33953217402739594,3.6814167920565164,4.876413253488079,6.019778349939519,6.879450828730147,7.48905599101381,7.9326533514169855
pair_8_H4K20me1_vs_H3K27me1,H4K20me1,H3K27me1,2.317689199679029,6.626442452794684,8.187458381421802,9.839763840624348,10.890734530014575,11.508437722254868,11.982598089348093
pair_9_H4K91ac_vs_H2A.H4R3me2,H4K91ac,H2A.H4R3me2,1.9252327853809084,4.689929617466242,6.465849148987838,7.948594170652348,8.763595688295789,9.350990661893238,9.662225583108523
pair_10_H3K23ac_vs_H3K4me3,H3K23ac,H3K4me3,2.4534257339372405,6.035084368350984,7.443300294683867,8.78233809344584,9.459143292416288,10.066636561189956,10.433493056657973
pair_11_H3K27me3_vs_H2AZ,H3K27me3,H2AZ,0.9129050851163828,3.3887775790879773,4.63493586690316,5.581540454544519,6.281753005740221,6.510562790192367,6.9155677773881
pair_12_H2BK20ac_vs_H3K4ac,H2BK20ac,H3K4ac,1.8997383004861406,5.426229947980983,7.181446653017751,8.82869721264739,9.781321569017612,10.44340576395611,10.94980670400982
pair_13_H2BK5me1_vs_H4K8ac,H2BK5me1,H4K8ac,2.460859436146654,6.200204429151254,7.929568278656637,9.750427556927743,10.677781136744944,11.318893971533736,11.838004282202824
pair_14_H2BK5ac_vs_H3K4me1,H2BK5ac,H3K4me1,2.6525504899392107,6.946965753350273,8.53844647240678,10.038289568313159,11.071860941842639,11.640873632106612,12.1856719816613
pair_15_H2AK9ac_vs_H3K14ac,H2AK9ac,H3K14ac,0.20138818625869137,1.7758075883972106,3.4813170146788845,4.810147105159398,5.281898188406637,5.763784378353533,6.11792654697738
pair_16_H4K16ac_vs_H3K27me2,H4K16ac,H3K27me2,0.4424847855613972,2.8364713396869767,4.659990621912239,5.913117511878097,6.801153073155558,7.288630646268273,7.7665290843999095
pair_17_H3K9ac_vs_H3R2me2,H3K9ac,H3R2me2,0.8992381240942529,3.4436550681401403,5.236108259516936,6.754897759883056,7.500017817139597,8.090526809377824,8.380659184417667
pair_18_H4K20me3_vs_H3K9me2,H4K20me3,H3K9me2,0.41997811845570493,3.0382817119168286,3.590932956761951,4.495924888701788,4.805667569306189,5.141476491095806,5.304722183296898
pair_19_H3K79me1_vs_H4K5ac,H3K79me1,H4K5ac,0.7602933172796523,4.513180926400807,6.193726119674922,7.770722805364992,8.59965037720379,9.419185538256826,9.836981155596936
pair_20_H2BK120ac_vs_H3K9me1,H2BK120ac,H3K9me1,3.325032014238753,6.828597821953005,8.758985818531817,10.479328531402524,11.556050363530895,12.242964586575045,12.805392121822353
