pair_name,feature1,feature2,bin_10,bin_50,bin_100,bin_200,bin_300,bin_400,bin_500
pair_1_H2AK5ac_vs_H2BK12ac,H2AK5ac,H2BK12ac,1.5447519191697694,3.586352427395801,4.425083669615037,5.192682170060046,5.628143992987101,5.907393131210507,6.131193538412218
pair_2_H3K4me2_vs_H3K36me3,H3K4me2,H3K36me3,3.3720507298574245,7.243034788396491,9.001661351382529,10.549504650739188,11.42581634285642,12.12558123056741,12.52087773438491
pair_3_H4K12ac_vs_H3K27ac,H4K12ac,H3K27ac,3.104359077446863,6.684696624203892,8.243715827125962,9.718744341347493,10.537854612733673,11.077217493612617,11.50031443976391
pair_4_H3K9me1_vs_H3K36ac,H3K9me1,H3K36ac,3.6355893487973665,7.592350063295607,9.302564105523347,10.976336888219747,11.917544040659848,12.632185561018172,13.10418321339154
pair_5_H3K18ac_vs_H3K79me2,H3K18ac,H3K79me2,1.6883600723216954,4.503348218041916,5.5399990939662,6.600099537545326,7.2174553758339,7.611289853796099,7.95352888948527
pair_6_H3R2me1_vs_H3K9me3,H3R2me1,H3K9me3,0.4061382036404041,2.925631063151866,4.068462767201211,4.95647684827939,5.503873709581174,5.837888487134045,6.130812908218624
pair_7_H3K79me3_vs_H3K36me1,H3K79me3,H3K36me1,0.6769284643632264,3.368832233738648,4.600011224371198,5.748664546557464,6.408075334838449,6.838900807000249,7.194875650863398
pair_8_H4K20me1_vs_H3K27me1,H4K20me1,H3K27me1,3.462957781764842,7.357785440944644,9.052127225054951,10.750503033118354,11.696367153719423,12.290419403069698,12.756478776573664
pair_9_H4K91ac_vs_H2A.H4R3me2,H4K91ac,H2A.H4R3me2,2.82027701895074,5.996043922181641,7.296923866235549,8.711557037722367,9.391708058344445,9.941025523979503,10.419255785475226
pair_10_H3K23ac_vs_H3K4me3,H3K23ac,H3K4me3,0.6615867125229827,1.029376408611851,1.161849357318228,1.272822747880366,1.3258698479671798,1.354414965442675,1.3741070187055613
pair_11_H3K27me3_vs_H2AZ,H3K27me3,H2AZ,1.1956553124090932,2.265016454943586,2.713100819772859,3.131613280655083,3.359765356663879,3.516244244436148,3.6254572946013885
pair_12_H2BK20ac_vs_H3K4ac,H2BK20ac,H3K4ac,2.4176238770776974,6.698049741147205,8.393213168937729,10.001942437972737,10.895666784250569,11.5198285102287,11.965857800585315
pair_13_H2BK5me1_vs_H4K8ac,H2BK5me1,H4K8ac,3.473824372480998,7.357081272634603,9.053127861691967,10.700276131778349,11.711932959024207,12.307422139759346,12.822852767288184
pair_14_H2BK5ac_vs_H3K4me1,H2BK5ac,H3K4me1,2.120002617389764,4.065145708757362,4.8769691215579165,5.621203378913599,6.038604077805262,6.293229434828207,6.478066206616504
pair_15_H2AK9ac_vs_H3K14ac,H2AK9ac,H3K14ac,0.615173880174085,2.4064009168302603,3.219226926295304,3.9679106751642808,4.4110849784903445,4.6729711040338735,4.905119234388149
pair_16_H4K16ac_vs_H3K27me2,H4K16ac,H3K27me2,0.9021141303065398,4.113185157443385,5.606002782584556,6.931171190123322,7.73619516304307,8.225832561036123,8.635868585126618
pair_17_H3K9ac_vs_H3R2me2,H3K9ac,H3R2me2,1.9168222984376462,4.852208593041631,6.350704072665162,7.527415944620257,8.321094532866573,8.773622213405185,9.204399492944283
pair_18_H4K20me3_vs_H3K9me2,H4K20me3,H3K9me2,0.5808482521645898,3.0565286538403034,4.110083371101435,4.866119456712961,5.321277774918281,5.614534094672127,5.7954134093768
pair_19_H3K79me1_vs_H4K5ac,H3K79me1,H4K5ac,1.2283517552324865,3.0964885037915213,3.9492749193109624,4.765479473538422,5.236340082481697,5.544456813394416,5.78628246705181
pair_20_H2BK120ac_vs_H3K9me1,H2BK120ac,H3K9me1,3.054693416090973,6.8214481557328845,8.422496930159522,9.943170661937016,10.779753081077855,11.377256729132103,11.771466090027017
