feature,importance,target,method,rank
H3K36me2,0.20479277,H3K36me,mean_abs,1
H4K20me,0.06531582,H3K36me,mean_abs,2
H3K79me,0.063050285,H3K36me,mean_abs,3
H3K36me3,0.058974393,H3K36me,mean_abs,4
H3K4me2,0.031649765,H3K36me,mean_abs,5
H4K12ac,0.018263128,H3K36me,mean_abs,6
H3K4me3,0.012590867,H3K36me,mean_abs,7
H4K16ac,0.012541802,H3K36me,mean_abs,8
H2AS129ph,0.011366268,H3K36me,mean_abs,9
H3K79me3,0.010276191,H3K36me,mean_abs,10
H4K5ac,0.008979824,H3K36me,mean_abs,11
Htz1,0.0068521975,H3K36me,mean_abs,12
H4K8ac,0.00677382,H3K36me,mean_abs,13
H4R3me2s,0.0050353785,H3K36me,mean_abs,14
H3K4me,0.0047859335,H3K36me,mean_abs,15
H3K18ac,0.003785908,H3K36me,mean_abs,16
H3K9ac,0.0017013472,H3K36me,mean_abs,17
H3K56ac,0.0014361317,H3K36me,mean_abs,18
H2AK5ac,0.0011362297,H3K36me,mean_abs,19
H3K4ac,0.0010694693,H3K36me,mean_abs,20
H3K14ac,0.0010529569,H3K36me,mean_abs,21
H4R3me,0.0009032915,H3K36me,mean_abs,22
H3K27ac,0.00075558235,H3K36me,mean_abs,23
H3K23ac,0.0005477787,H3K36me,mean_abs,24
H3S10ph,0.00036491483,H3K36me,mean_abs,25
