feature,importance,target,method,rank
H4K20me,0.13872229,H4K16ac,mean_abs,1
H4R3me2s,0.11039375,H4K16ac,mean_abs,2
H3K9ac,0.06656343,H4K16ac,mean_abs,3
H3K14ac,0.04757145,H4K16ac,mean_abs,4
H3K36me2,0.044118274,H4K16ac,mean_abs,5
H3K36me,0.038081795,H4K16ac,mean_abs,6
H3K27ac,0.029981188,H4K16ac,mean_abs,7
H3K79me3,0.023678938,H4K16ac,mean_abs,8
H4K8ac,0.019406838,H4K16ac,mean_abs,9
H3K4ac,0.01803525,H4K16ac,mean_abs,10
H3K56ac,0.014740645,H4K16ac,mean_abs,11
H3K4me3,0.011885326,H4K16ac,mean_abs,12
H3K23ac,0.011028359,H4K16ac,mean_abs,13
H4K5ac,0.005838355,H4K16ac,mean_abs,14
H3K4me,0.0057301368,H4K16ac,mean_abs,15
H3K4me2,0.0056931144,H4K16ac,mean_abs,16
H4K12ac,0.005328129,H4K16ac,mean_abs,17
H3K79me,0.0048906533,H4K16ac,mean_abs,18
H3K18ac,0.0031701785,H4K16ac,mean_abs,19
H4R3me,0.0018888627,H4K16ac,mean_abs,20
H2AS129ph,0.0017040266,H4K16ac,mean_abs,21
H3K36me3,0.0013746653,H4K16ac,mean_abs,22
Htz1,0.0011544864,H4K16ac,mean_abs,23
H2AK5ac,0.0010115005,H4K16ac,mean_abs,24
H3S10ph,0.00065062166,H4K16ac,mean_abs,25
