feature,importance,target,method,rank
H3K14ac,0.31400454,H3K23ac,mean_abs,1
H3K4ac,0.090356216,H3K23ac,mean_abs,2
H3K18ac,0.07152937,H3K23ac,mean_abs,3
H3K27ac,0.041644584,H3K23ac,mean_abs,4
H3K9ac,0.0239279,H3K23ac,mean_abs,5
H4K16ac,0.01141725,H3K23ac,mean_abs,6
H2AS129ph,0.010329828,H3K23ac,mean_abs,7
H4K5ac,0.0068006148,H3K23ac,mean_abs,8
H2AK5ac,0.0063829804,H3K23ac,mean_abs,9
H3K79me3,0.0041192593,H3K23ac,mean_abs,10
H4K12ac,0.0033710673,H3K23ac,mean_abs,11
H3K56ac,0.0026330124,H3K23ac,mean_abs,12
H3K4me3,0.002111943,H3K23ac,mean_abs,13
H3K4me,0.0017453376,H3K23ac,mean_abs,14
H4K8ac,0.0017065521,H3K23ac,mean_abs,15
H4K20me,0.0016196666,H3K23ac,mean_abs,16
H3K36me,0.0014326584,H3K23ac,mean_abs,17
H3K79me,0.0013965014,H3K23ac,mean_abs,18
H3K36me3,0.0013808887,H3K23ac,mean_abs,19
H4R3me2s,0.0013404513,H3K23ac,mean_abs,20
Htz1,0.00081767834,H3K23ac,mean_abs,21
H3K4me2,0.00079354376,H3K23ac,mean_abs,22
H3K36me2,0.0006783522,H3K23ac,mean_abs,23
H4R3me,0.00040831143,H3K23ac,mean_abs,24
H3S10ph,0.00028464443,H3K23ac,mean_abs,25
