pair_name,feature1,feature2,bin_10,bin_50,bin_100,bin_200,bin_300,bin_400,bin_500
pair_1_H3K9ac_vs_H3K4me,H3K9ac,H3K4me,4.0914622952096655,8.567633574033767,10.526738786245739,12.412693000155015,13.433538138027103,13.951576877010396,14.4410628086952
pair_2_H3K36me_vs_H3K27ac,H3K36me,H3K27ac,3.848176541239399,8.299073672948662,10.24606415627896,12.11542394618852,13.020307592427164,13.773521289830603,14.03401053425714
pair_3_H3S10ph_vs_H3K79me3,H3S10ph,H3K79me3,4.385578834123108,8.857354573011646,10.789091104278208,12.617848163682568,13.498301915924177,14.195199991936361,14.482336622565553
pair_4_H4K20me_vs_H3K36me3,H4K20me,H3K36me3,5.193769210582466,9.665036935292116,11.563902869114706,13.305251082703679,14.13059694701854,14.614314638339724,14.614314638339724
pair_5_H3K14ac_vs_Htz1,H3K14ac,Htz1,3.978738019205772,8.404978335237054,10.366859632757105,12.263928488338472,13.298502188667552,13.85087513489431,14.36652583166383
pair_6_H3K4me2_vs_H3K4me,H3K4me2,H3K4me,4.513628257826096,8.935142033732085,10.88390038688106,12.741632112326993,13.719681347083334,14.27531711884725,14.782353164513031
pair_7_H4K5ac_vs_H3S10ph,H4K5ac,H3S10ph,3.7401982840183146,8.177997261146366,10.134414228315245,11.966191736483692,12.943154619932194,13.593825639156423,14.222932740622172
pair_8_H4K16ac_vs_H4K12ac,H4K16ac,H4K12ac,4.071734254275237,8.560902059362341,10.512270519709192,12.36411967198742,13.30198888637203,13.980494094332531,14.443153505417637
pair_9_H3K9ac_vs_H3S10ph,H3K9ac,H3S10ph,3.4961644189039203,7.842604632454619,9.802525160954659,11.7024542891047,12.749170937214267,13.306523924214934,13.842422438916778
pair_10_H3K36me_vs_Htz1,H3K36me,Htz1,4.024493910165124,8.491617831642177,10.438062560584404,12.29576805211054,13.187330104667314,13.919055339230301,14.172822970612705
