pair_name,feature1,feature2,bin_10,bin_50,bin_100,bin_200,bin_300,bin_400,bin_500
pair_1_H3K9ac_vs_H3K4me,H3K9ac,H3K4me,4.0914622952096655,8.567633574033767,10.526738786245739,12.412693000155015,13.433538138027103,13.951576877010396,14.4410628086952
pair_2_H4K5ac_vs_H4R3me,H4K5ac,H4R3me,3.7169712023023864,8.147302610362503,10.114332823292388,11.975085960735264,12.971132007606027,13.633441676836853,14.266351053756239
pair_3_H3K4me3_vs_H3K56ac,H3K4me3,H3K56ac,3.7317067907105743,8.014128689704945,9.970383209321737,11.867267835398783,12.903339000110105,13.585321475238768,14.00258639802298
pair_4_Htz1_vs_H4K12ac,Htz1,H4K12ac,4.516547329784942,9.024019839241404,10.966107266593154,12.801064174220237,13.684111222733007,14.317363112398487,14.317363112398487
pair_5_H4R3me2s_vs_H3K14ac,H4R3me2s,H3K14ac,4.688839364855696,9.192343356220746,11.138525139237512,12.954335828893235,13.85600405008434,14.467633149949975,14.903443637778086
pair_6_H4K8ac_vs_H3K4me2,H4K8ac,H3K4me2,4.874561395307405,9.394854560282342,11.327616419685377,13.143936891161689,13.993617539303017,14.624927094117123,14.927530483750491
pair_7_H3S10ph_vs_H3K4ac,H3S10ph,H3K4ac,4.3361559294871075,8.806314458218642,10.736576822711674,12.560911691987528,13.437719960795764,14.139040223252913,14.428645213270805
pair_8_H3K23ac_vs_H3K79me3,H3K23ac,H3K79me3,4.568641808558134,9.068667208861669,11.022103462130335,12.857465240866755,13.806211318819196,14.368855054952878,14.883190303982019
pair_9_H4K20me_vs_H3K36me3,H4K20me,H3K36me3,5.193769210582466,9.665036935292116,11.563902869114706,13.305251082703679,14.13059694701854,14.614314638339724,14.614314638339724
pair_10_H3K36me_vs_H2AS129ph,H3K36me,H2AS129ph,4.190209261290262,8.615474572377765,10.523830640210964,12.329629010542789,13.185108631535872,13.879993543990985,14.119966291830313
pair_11_H4K16ac_vs_H3K18ac,H4K16ac,H3K18ac,4.593769024616179,8.896844858778575,10.746411311025291,12.470784242563935,13.306831438322313,13.880220967234274,14.25316742644403
pair_12_H3K27ac_vs_H3K79me,H3K27ac,H3K79me,3.7491751095491237,8.186064767907911,10.136769627285876,12.002727613199438,12.960363492690643,13.669917426415681,14.124065397684245
pair_13_H3K36me2_vs_H2AK5ac,H3K36me2,H2AK5ac,3.981678626196895,8.42201840534808,10.378357995579702,12.26221074290328,13.281236394487813,13.829598731003692,14.355188582066507
