,H2A.H4R3me2,H2AZ,H2BK5me1,H3K4me1,H3K4me2,H3K4me3,H3K9me1,H3K9me2,H3K9me3,H3K27me1,H3K27me2,H3K27me3,H3K36me1,H3K36me3,H3K79me1,H3K79me2,H3K79me3,H3R2me1,H3R2me2,H4K20me1,H4K20me3,H3K4ac,H3K9ac,H3K14ac,H3K18ac,H3K23ac,H3K27ac,H3K36ac,H4K5ac,H4K8ac,H4K12ac,H4K16ac,H4K91ac,H2AK5ac,H2AK9ac,H2BK5ac,H2BK12ac,H2BK20ac,H2BK120ac
H3K4ac_H4K8ac,-0.0332844504538023,-0.1158376650893995,-0.0942449733153054,-0.2476259360388137,-0.2721077460957435,-0.1886065766526936,-0.210334117459368,-0.0770426954340539,-0.0175215230102718,-0.1192894563182989,-0.0494870642416156,-0.048604693908496,-0.0724857171634063,-0.0524706107663828,-0.0644690976329549,-0.0201581400596815,-0.0694374886717206,-0.0717274773085936,-0.0593962348842733,-0.0878546138801716,-0.0431547378512124,,,,,,,,,,,,,,,,,,
H3K4ac_H4K12ac,-0.033759109048276,-0.1298496133737128,-0.110136193212142,-0.2735046516631314,-0.2899994918871389,-0.2122831096869042,-0.2212623807496232,-0.0803338698944635,-0.0150017228225767,-0.1148323659615524,-0.0445177380258421,-0.0473154590251301,-0.0756332909606474,-0.0467112151672424,-0.071374471373792,-0.0214865150188821,-0.0701040471554268,-0.0814523566561025,-0.0648967587916811,-0.1178780839314832,-0.0428703094168945,,,,,,,,,,,,,,,,,,
H3K4ac_H4K16ac,-0.0341477965047616,-0.1099964230813377,-0.1216792485491939,-0.1703483985044087,-0.1859789381911181,-0.1446949011300677,-0.1394918207549107,-0.0509957800830935,-0.016603996240283,-0.0753654979579163,-0.0281293635892243,-0.0310310512980951,-0.0495523667841393,-0.048166152025681,-0.0478566897737824,-0.0149804644011597,-0.0497319050328819,-0.0577515494075058,-0.0479411278543722,-0.1250849022627651,-0.0383313540665533,,,,,,,,,,,,,,,,,,
H3K4ac_H4K91ac,-0.0364797573179682,-0.1560398588772269,-0.1608498437636409,-0.3217020963070887,-0.3416902546909242,-0.2852329504109043,-0.2537416304665658,-0.0864829799759956,-0.0142157269749496,-0.1188025207032286,-0.0435119061970432,-0.0497698536140642,-0.0781962353311698,-0.0496959933934153,-0.0725669830896489,-0.0224907560767473,-0.0679215394521666,-0.0882353556408777,-0.0706832965623771,-0.1882164734579632,-0.047354549547121,,,,,,,,,,,,,,,,,,
H3K4ac_H2AK5ac,-0.0325869584836127,-0.1304283485416899,-0.1092538962884646,-0.166446749462656,-0.1547997409977899,-0.2191082688963685,-0.1138444661234334,-0.0445249250221877,-0.0108596552231743,-0.0708542998297492,-0.0316114961891056,-0.0260305458701886,-0.039282815522819,-0.0636904679619618,-0.0354873818677266,-0.0127437828795304,-0.0419366550465181,-0.051162162825264,-0.0384964710108697,-0.1005840970805955,-0.0286469333913563,,,,,,,,,,,,,,,,,,
H3K4ac_H2AK9ac,-0.0141471033074545,-0.0646833335214687,-0.0455599346450732,-0.0959168591351602,-0.1234339463158864,-0.0553499820559864,-0.0939306095977787,-0.0326097602946582,-0.0121527073119471,-0.0396546690971124,-0.0146106450352307,-0.018623327867302,-0.0338478602004244,-0.018690425720786,-0.0326631837551207,-0.0096867553516846,-0.0344673467481371,-0.0335685409278827,-0.028228154500324,-0.0709428909679896,-0.0228969996121257,,,,,,,,,,,,,,,,,,
H3K4ac_H2BK5ac,-0.0252369599003881,-0.1065324164379237,-0.0742778644663832,-0.2147487303980568,-0.2574245608209278,-0.1056107227031439,-0.1992546666685495,-0.0677284122137535,-0.0140710539553001,-0.090905434093635,-0.0307363077789144,-0.0363625723527043,-0.0683331102589299,-0.0342518805345495,-0.064442075386994,-0.0179995154631118,-0.0636386782165097,-0.0684754233459212,-0.05687224086099,-0.0940084365445788,-0.0372013226385838,,,,,,,,,,,,,,,,,,
H3K4ac_H2BK12ac,-0.0296403615626328,-0.1017362462755677,-0.0680658513046541,-0.2138938224248239,-0.2309097744041253,-0.1603032848438275,-0.1774452716591419,-0.0670697079108819,-0.015123583333251,-0.0880123880125882,-0.0342526295860974,-0.0378823678503987,-0.062327655617473,-0.0278253936783787,-0.0591372615533671,-0.0183819993337923,-0.0629232822106704,-0.0638650210984081,-0.0523329799829586,-0.0747034741893504,-0.0382208316435868,,,,,,,,,,,,,,,,,,
H3K4ac_H2BK20ac,-0.0299780915491574,-0.1173623102060652,-0.0958486700117724,-0.2589737951954625,-0.2724010118813265,-0.1844148204999758,-0.2080247495907272,-0.0761337741099357,-0.0129776961482264,-0.1059743582671597,-0.0414728811422016,-0.0453454073673551,-0.0714642922923296,-0.0345409468363229,-0.0678047539434061,-0.0199648078819372,-0.06538263250021,-0.0784314176502007,-0.0612969203343798,-0.1038160940810755,-0.0388932777828259,,,,,,,,,,,,,,,,,,
H3K4ac_H2BK120ac,-0.0280143348751806,-0.1154153057131388,-0.0948770216291716,-0.2528733284277553,-0.2887542276533903,-0.1606185672856348,-0.2195791039695809,-0.0754413749218656,-0.0120942193168698,-0.1055990411246092,-0.038359271963559,-0.0444168093202801,-0.0731280305082044,-0.0265047249401018,-0.069162191209287,-0.0196792439753572,-0.0646120839776092,-0.0760742695353293,-0.0612955213145856,-0.1076233932722932,-0.0386676707208444,,,,,,,,,,,,,,,,,,
