,H3K4me1_H3K4me2,H3K4me1_H3K4me3,H3K4me1_H4K20me1,H3K4me1_H4K91ac,H3K4me2_H3K4me3,H3K4me2_H4K20me1,H3K4me2_H3K18ac,H3K4me2_H3K27ac,H3K4me2_H4K12ac,H3K4me2_H4K91ac,H3K4me2_H2BK20ac,H3K4me2_H2BK120ac,H3K4me3_H3K9me1,H3K4me3_H4K20me1,H3K4me3_H3K18ac,H3K4me3_H3K27ac,H3K4me3_H4K5ac,H3K4me3_H4K12ac,H3K4me3_H4K91ac,H3K4me3_H2BK20ac,H3K4me3_H2BK120ac,H3K9me1_H4K20me1,H3K9me1_H3K27ac,H3K9me1_H4K91ac,H4K20me1_H4K91ac,H3K27ac_H4K91ac
H2BK5me1,-0.6486602202708625,-0.522422617872131,-0.6388595315412786,-0.5388607751074801,-0.5662777505191681,-0.5547015527184858,,,,,,,,,,,,,,,,,,,,
H3K4me1,,,,,-0.9174412333604512,-0.7745314830689214,-0.5971349646653099,-0.6494488749625766,-0.5872526836445289,-0.7319725140173823,-0.5433179694564227,-0.5767768400364748,-0.7267850511537315,-0.7415859061164891,-0.6198898223090001,-0.6415234105661725,-0.5171669716223075,-0.6364216535046747,-0.7876950716582378,-0.586832287180794,-0.5884608909349218,-0.6199303736660013,,-0.5500099989371492,-0.6383064048040143,-0.5305496931517588
H3K4me2,,,,,,,,,,,,,-0.6234410307126552,-0.7264203581009774,-0.5978369454499699,-0.6408621144127284,,-0.6354278307781911,-0.7989695265680155,-0.5758153788260714,-0.5993953528170426,,,,-0.5656865150091068,-0.5868661018069705
H3K4me3,,,,,,,,,,,,,,,,,,,,,,-0.6392965262748191,-0.5289528185850259,-0.6389177509482149,-0.5716681661536196,
