,H2A.H4R3me2,H2AZ,H2BK5me1,H3K4me1,H3K4me2,H3K4me3,H3K9me1,H3K9me2,H3K9me3,H3K27me1,H3K27me2,H3K27me3,H3K36me1,H3K36me3,H3K79me1,H3K79me2,H3K79me3,H3R2me1,H3R2me2,H4K20me1,H4K20me3,H3K4ac,H3K9ac,H3K14ac,H3K18ac,H3K23ac,H3K27ac,H3K36ac,H4K5ac,H4K8ac,H4K12ac,H4K16ac,H4K91ac,H2AK5ac,H2AK9ac,H2BK5ac,H2BK12ac,H2BK20ac,H2BK120ac
0,-0.007676405342677168,0.7099397990909788,-0.022282477017359515,-0.014662455474676223,0.005028504588407733,-0.007808587097086049,-0.0027429932522271753,0.008500480253768953,-0.7012948673928299,0.029933081626436674,0.007832441874947957,-0.0037123462076810226,0.03392113152361018,0.007597605252877971,-0.019440805685217936,0.00992086192620841,0.0069026403715052,-0.009247439054064976,-0.004498231856580672,0.0019895967656415486,0.0038451333659234497,0.002974350757450316,-0.00515037778385094,0.004132021535553489,0.005717927273140612,0.004302462156138347,0.0003596699624262424,-0.00040807557488074775,-0.005046734874375681,0.006471993312175743,0.0012146170040159094,0.003956770559571433,0.004624589019230289,-0.010681084639948357,-0.00659709290677602,-0.002569947215819861,-0.005372530467409064,0.00023104986775789428,-0.0018921803321871905
1,-0.6720930792819232,0.03611998177005368,0.1114926240873455,0.31198101093282216,-0.009485012580248428,0.010083417113373792,0.1915259295681569,-0.018723141847918727,0.0046872604220127125,-0.015373429834428154,0.06934101888172385,0.005819301726058059,-0.4041000641776261,0.018354087565880885,0.4292539649983515,0.004732332427685223,0.14883776212918862,-0.14721090852510207,0.004471119754707025,0.005960506797786047,0.001139200844514597,-0.0028836061297196004,-0.009851540355812524,0.002610478523650351,-5.119618735584372e-05,0.00719336696526455,-0.002458468405475244,-0.006752099685574351,-0.013325036120315248,-0.000548619372483979,0.00386018821994326,0.0017258703704115424,-0.02298828871635787,-0.0026959405374157802,0.044149449457413455,-0.005743620673108494,0.003905806055996343,-0.011790513123776191,0.004431886729383769
2,0.5998014975462478,-0.04710804412837931,-0.0963902822012662,0.3875929481437706,0.02264476526042025,0.024668492176663233,-0.1329915899586358,-0.014498486274558976,-0.09094723336058078,0.036685320357202775,-0.04072812334143946,-0.08079522342834587,-0.54670423071743,0.02784483737702917,0.24090601298569914,0.014367982971810822,-0.18423176067638478,-0.18046043058373626,0.005196966105294507,-0.002802686004023687,0.0010195225190763489,0.0027240029035840363,-0.028476454143630536,0.0031786549256420655,0.006708749913548175,0.016936519403331404,0.002161423971349374,-0.017688742403330904,-0.004467792976021342,0.011599194442261608,0.000603999585925684,0.002841562577937462,-0.013786198234271258,0.12309151045619525,-0.013420400644348898,0.0019304806494550484,0.005163454559440383,-0.0026498169985586665,0.00560103661042652
3,0.19280963339027965,0.04777960859830346,0.03266592588936453,-0.49978645056967524,-0.0010946912921886592,0.04029534331716076,-0.2137030226448871,0.0015385262478722268,0.047604670083586514,-0.042067711178002905,0.02096083703269814,-0.15713896370204847,-0.21550276134243432,-0.016944801111962313,0.27050926234890665,-0.00558525305823176,0.6790318576865667,-0.08654762662871987,-0.018148748331227833,-0.009103690958376608,0.008300912848592896,0.0006881240111866197,0.012305869498207037,-0.001266162055034779,0.0114572584906177,0.0003666836280512728,-0.00739230830067076,-0.014469248220724382,-0.028297002067992957,-0.051706831764186084,0.0066084343825160985,0.007846211852894573,0.013584742890995108,-0.1899119691722314,0.04783035111780554,0.016880591660764565,-0.03157040406989204,-0.016812801484102864,0.0011219405955649384
4,0.010256899826724205,0.0017220859717700775,-0.005942389855909381,-0.20571052085944605,0.07746153520904307,-0.0017933481334817696,-0.16547933502938808,0.12198688116989174,0.00998829340693062,-0.10365603662210211,-0.01875526818257656,0.11941233731654363,0.4225308267561749,-0.007440677419449896,0.6002046024904716,-0.003348202336433548,-0.32925484878035843,-0.4573468498490412,0.01222129722398942,0.03278740773516409,-0.015548701831548991,-0.01857320401983009,-0.027806138279905163,-0.00507959937830034,-0.009415392426657215,0.02366777428335605,0.001871271681090216,0.008988853198892227,0.004885980296611172,0.024192250336660455,0.006108182950719153,-0.0027858641719671947,-0.005245074680810971,0.04932915964517892,-0.04728822126849194,-0.04368952833237338,0.01036418399970734,-0.1291743898060538,-0.0007548881065675311
5,0.09683123462965224,0.03467809761681564,0.15169177592268426,0.09356416915448933,0.03149663411704066,0.03424359245850803,0.37620105946479243,0.019826949540248006,0.05814654610595197,0.2481286181865416,-0.28639668370872595,0.056211187821854816,0.06995196906582886,-0.002821746871520645,-0.3153148208524698,0.008728837476311702,0.20339649698654338,-0.7062371708242977,-0.008808482729680956,-0.007104076980901633,-0.0006190922915078525,0.014256345046976648,0.03362683798036935,-0.005183221967205293,-0.0075275425818835595,-0.022801941621112494,-0.006396369691425761,0.006328064115808967,0.00407904618532559,-0.009730776769324519,0.0021994690649216396,-0.001796283495804857,0.053462200474994885,-0.1097391523428989,0.003628478354651594,0.020494639658479228,-0.027055532405219847,-0.01890438154864013,-0.01443029404014514
6,0.0388221070301048,0.11831180459055275,-0.15755924580880049,0.06177156187715021,0.029024409510494918,-0.024241314387985786,0.06347955586370051,0.030284831113627838,0.12014373398906945,-0.5063396371854572,0.6931275644409761,-0.042573047109842915,-0.010475736392093456,-0.03819725583863869,-0.23128183999168045,-0.006458274861542005,0.06280153525414349,-0.3216309343088299,0.02181194993319643,-0.016506891721203575,0.0073373574719027244,0.024207196280252107,-0.00975250468757651,-0.002652426498915075,-0.001235508247547052,-0.008199935575582278,-0.002089255065943082,-0.0002581160888815772,0.0037188285071506413,-0.0037311017995603304,-0.012159789306009085,-0.00546421647222291,0.05610955874384345,0.08111611315755896,-0.11832074553351511,0.04374536008113329,0.015111669102766736,0.0780460271492297,-0.014239465967267582
7,0.1607349189827374,-0.26720141285153465,0.31809118787360435,-0.03471647717839209,0.045490362793706954,-0.10507028667487328,0.44021437835275584,-0.005390769197536582,-0.2864030985174712,-0.2637189606071427,0.05448073898694504,-0.32454291818759984,0.07229234573469676,0.019942275747336487,0.16458722911790924,0.01710822404552024,-0.13552000022009414,0.09884005392241715,-0.06390432290409437,0.07651396130084946,-0.001252544707933826,0.018452051552775652,0.0633278181642653,0.000836759090693492,-0.0022565723431635276,-0.016786677202251785,0.015126903307101529,0.0017069894959260297,-0.003148600941772138,0.012214392385471888,0.006755590464771489,-0.01154694860963154,0.08003611117250205,-0.3840831655180814,0.056638179590355435,-0.14057126258149075,-0.13385607937460464,0.24979212805525589,-0.009324129528473862
8,-0.026951883900999837,-0.02411679744208989,0.6201115937179819,-0.029369216876996708,-0.0020588709042882072,-0.05891226824774185,-0.13902549795849437,-0.020322124118416385,-0.03558858202492606,0.10730676273782927,0.09043545869571229,-0.473470976725889,0.04814454070950535,-0.007858977859353206,-0.06770892358643582,-0.009381435766903928,-0.0039128758415273215,-0.034767650817900043,0.09049670031823163,-0.0912972795947535,-0.005259372931018175,-0.01849726093150957,-0.12187277270100026,0.005573142272491856,0.011726078388684103,0.08003784379744351,-0.005238708081001267,0.015890620383125435,0.03353163670024251,0.030766434756712525,-0.04978931294082644,0.006118373764403838,0.014200203306327864,0.4349710292913621,-0.20528109890263857,0.12653016544149326,0.15706469076196125,-0.1443210620544623,0.020617258360864747
9,0.008189910968974833,-0.10743066281867454,0.03979141209098467,-0.1878101074779702,-0.04054165362330963,0.04923610274022927,0.1203218747249329,-0.01170930060829599,-0.10547740514284715,0.08342861433930837,0.07826441425178858,0.21988761936450824,-0.11065722912111611,-0.014917639861603613,-0.010535368973681063,0.001590401152016616,-0.0012707156146384588,0.012008078710438878,0.25496229180205326,0.5322905894159281,0.006639914496018237,0.058982547494173136,-0.22720064466738124,0.005112874984254528,-0.0073717695442774185,0.10544103469791163,0.001520587607722323,0.019108729080636898,0.026057685138915553,0.0848617529953067,-0.16023001191024022,0.029117554451326938,0.013419296545440678,0.21983058574762082,-0.12069590562067588,0.18197005653451687,-0.5481576596621521,0.024143806736692097,0.029476064699244527
