,H4K5ac,H4K12ac,H4K8ac,H3K4ac,H3K23ac,H3K14ac,H2AK5ac,H3K18ac,H3K9ac,H3K56ac,H3K4me3,Htz1,H3K79me,H3K4me,H4K20me,H3K36me,H3K79me3,H3K36me3
H3K14ac_H3K4me,,,,,0.0176300796810124,,,,,,,,,,,,,
H3K14ac_H4K20me,,,,0.0213015560818607,0.0712777345686248,,,,,,,,,,,,,
H3K14ac_H3K36me2,,,,0.0198287866232362,0.0825156411855694,,,,,,,,,,,,,
H3K14ac_H3K36me3,,,,0.0467037707330924,0.0627346231049266,,,,,,,,,,,,,
H3K14ac_H4R3me2s,0.0141899988171072,0.0268494120928064,0.0061460528134738,0.1716183941107054,0.164867111766064,,,,,,,,,,,,,
H3K14ac_H4R3me,0.0088901451315397,0.0219381604404365,0.0089161985679773,0.0711684550028959,0.0632479638418033,,,,,,,,,,,,,
H2AK5ac_H3K18ac,0.181305608560029,0.1875525287812323,0.18931689173173,,,,,,,,,,,,,,,
H2AK5ac_H3K9ac,0.1171685474796166,0.1181620918531347,0.1278090740707913,0.4241318530872,0.4143151300534491,0.3711901432366389,,,,,,,,,,,,
H2AK5ac_H3K56ac,0.1463744461759368,0.1582774282903578,0.1764792283669134,0.4818995493676681,0.4634445823317143,0.4370433744856292,,,,,,,,,,,,
H2AK5ac_H3K27ac,0.1216285915138595,0.1434721491062696,0.1390172161993259,0.2982150121766089,0.3029628137651503,0.2724598656740546,,,,,,,,,,,,
H2AK5ac_H3K4me3,0.0069473145245346,0.0206404547554743,,0.2018845126991664,0.2755025004875548,0.3203535119468697,,,,,,,,,,,,
H2AK5ac_H3K4me2,,0.0001065069072545,0.0041490372597206,0.0427842355260246,0.1006229994561529,0.1045520578507019,,,,,,,,,,,,
H2AK5ac_Htz1,0.084211240075696,0.1021851498846651,0.0934385028498514,0.0797644751682895,0.0595271191628885,0.0772888616152602,,,,,,,,,,,,
H2AK5ac_H4K20me,,,,,0.0030058947390205,0.0077863658946135,,,,,,,,,,,,
H2AK5ac_H3K79me3,0.0115951301745838,0.0218706168043318,0.0268863004309594,0.0245315865543549,,,,,,,,,,,,,,
H2AK5ac_H3K36me3,0.0492752667002385,0.0633958876642193,0.0491476083827553,0.0643766502320879,0.0443829064397292,0.0354021643934654,,,,,,,,,,,,
H2AK5ac_H4R3me2s,0.1523130309866047,0.1490526256229358,0.1385694383398679,0.1864168116606599,0.1572563374025772,0.1648624827242404,,,,,,,,,,,,
H2AK5ac_H4R3me,0.1112939167233388,0.1078173619854911,0.1047622682071249,0.0657472223559487,0.0488641227678989,0.0577070324002981,,,,,,,,,,,,
H3K18ac_H3K9ac,0.0955926023183089,0.0933902315712522,0.0950269834307118,,,,0.3738192282647983,,,,,,,,,,,
H3K18ac_H3K56ac,0.1259255305159516,0.1315736437007348,0.1448169218745061,,,,0.4243010202713257,,,,,,,,,,,
H3K18ac_H3K27ac,0.044729323619487,0.0581412764277757,0.0582228520323369,0.4075691852855989,0.4168977729250738,0.3614894226899849,0.2332135350259729,,,,,,,,,,,
H3K18ac_H3K4me3,,,,0.258659959986165,0.4475219304605637,,0.2556583636655638,,,,,,,,,,,
H3K18ac_H3K4me2,,,,0.0351140337134214,0.1756703153702865,0.2492655648998241,0.0701570762991998,,,,,,,,,,,
H3K18ac_Htz1,,,,0.0191475868721706,0.0193935147978976,0.0298193012416838,0.0071550660911814,,,,,,,,,,,
H3K18ac_H3K4me,,,,,,0.0538525287547333,,,,,,,,,,,,
H3K18ac_H4K20me,,,,,0.002511839589367,0.0548591923260382,0.0048934529710873,,,,,,,,,,,
H3K18ac_H3K36me2,,,,,0.0046218810928717,0.019390356024326,,,,,,,,,,,,
H3K18ac_H4R3me2s,,,,0.1796200000668886,0.1335134964386277,0.1668079157527824,0.170377633429835,,,,,,,,,,,
H3K18ac_H4R3me,,,,0.034598954623803,0.0271789631892858,0.0499843361381149,0.0339493051932677,,,,,,,,,,,
H3K9ac_H3K56ac,0.1895078045193585,0.1850440728709834,0.2079775478007146,,,,0.4364616692341272,,,,,,,,,,,
H3K9ac_H3K27ac,0.0985099527087705,0.1030726705409197,0.1049951232334294,,0.4743637528284683,0.3145239021702561,0.2529931713218243,0.3699680449396538,,,,,,,,,,
H3K9ac_H3K4me3,,,,0.1437016498820504,0.1148588691259018,0.0370312405466624,0.0568807124007921,0.0021650565785247,,,,,,,,,,
H3K9ac_Htz1,,,,0.0242445015903527,0.0127103466089391,,,,,,,,,,,,,
H3K9ac_H4K20me,,,,0.0485343318276019,0.0088338809204735,,,,,,,,,,,,,
H3K9ac_H3K79me3,,,,0.0664540528717108,0.0073398247326643,,,,,,,,,,,,,
H3K9ac_H3K36me3,,,,0.0527943393120864,0.013398533208619,,,,,,,,,,,,,
H3K9ac_H4R3me2s,,,,0.1838519386990427,0.1430090533611281,0.0852615067613662,0.1183583687158371,0.123127110350719,,,,,,,,,,
H3K9ac_H4R3me,,,,0.0331463524641755,0.0230583438538918,,0.0039932445980355,,,,,,,,,,,
H3K56ac_H3K27ac,0.1261061800129628,0.1310062584342741,0.1406989976593742,,,0.3740912281230351,0.2896762873694083,0.4122200839557344,,,,,,,,,,
H3K56ac_H3K4me3,,,,0.2020724360376924,0.1893978494063173,0.0677581183499356,0.1248603619502493,0.047206209730934,0.1835544135464424,,,,,,,,,
H3K56ac_H3K4me2,,,,0.0893777405750544,0.067011007660561,,0.0131475107866894,,0.0238658249356173,,,,,,,,,
H3K56ac_Htz1,,,,0.0937185216125868,0.0629716794442458,0.0375612509874621,0.0502112691711129,0.0192555097620665,0.0697798801008318,,,,,,,,,
H3K56ac_H3K79me,,,,0.0447935370121577,,,,,0.005199811072817,,,,,,,,,
H3K56ac_H3K4me,,,,,,,,,0.0045310593735123,,,,,,,,,
H3K56ac_H4K20me,,,,0.0463321661931974,0.0350230934854742,0.0044162317458162,,,0.0445030733479505,,,,,,,,,
H3K56ac_H3K36me,,,,0.0250282554366005,,,,,0.0063206602104131,,,,,,,,,
H3K56ac_H3K36me2,,,,0.0424785592922418,0.0128293483671555,,,,0.0129649943660492,,,,,,,,,
