feature,importance,target,method,rank
H3K36ac,0.0057839975,H2BK20ac,mean_abs,19
H3K27ac,0.005351221,H2BK20ac,mean_abs,20
H3K27me1,0.005139782,H2BK20ac,mean_abs,21
H3K9ac,0.003626532,H2BK20ac,mean_abs,22
H2BK5ac,0.0024119515,H2BK20ac,mean_abs,23
H2A.H4R3me2,0.0022199582,H2BK20ac,mean_abs,24
H3K9me1,0.002024442,H2BK20ac,mean_abs,25
H3K79me3,0.0018362086,H2BK20ac,mean_abs,26
H3R2me2,0.0018289165,H2BK20ac,mean_abs,27
H2AK9ac,0.0017816885,H2BK20ac,mean_abs,28
H3K4me2,0.0014865766,H2BK20ac,mean_abs,29
H3K9me3,0.0012533123,H2BK20ac,mean_abs,30
H3K36me1,0.001229407,H2BK20ac,mean_abs,31
H4K20me3,0.0011326673,H2BK20ac,mean_abs,32
H3K9me2,0.0011225616,H2BK20ac,mean_abs,33
H3K79me1,0.0009337633,H2BK20ac,mean_abs,34
H3R2me1,0.00087934115,H2BK20ac,mean_abs,35
H3K27me3,0.0008617688,H2BK20ac,mean_abs,36
H3K79me2,0.0005912249,H2BK20ac,mean_abs,37
H3K27me2,0.0005450727,H2BK20ac,mean_abs,38
H2BK5ac_shap_importance.csv,,,,
H3K27ac,1.6668562,H2BK5ac,mean_abs,1
H2BK120ac,0.5031466,H2BK5ac,mean_abs,2
H3K9ac,0.22473733,H2BK5ac,mean_abs,3
H2BK20ac,0.09695265,H2BK5ac,mean_abs,4
H3K4ac,0.083197564,H2BK5ac,mean_abs,5
H3K27me1,0.074017085,H2BK5ac,mean_abs,6
H4K91ac,0.066768035,H2BK5ac,mean_abs,7
H4K12ac,0.057865106,H2BK5ac,mean_abs,8
H3K18ac,0.042617664,H2BK5ac,mean_abs,9
H2BK12ac,0.034193087,H2BK5ac,mean_abs,10
H4K5ac,0.01733422,H2BK5ac,mean_abs,11
H2BK5me1,0.012556175,H2BK5ac,mean_abs,12
H3K27me2,0.011997161,H2BK5ac,mean_abs,13
H3K36ac,0.011469694,H2BK5ac,mean_abs,14
H2AK5ac,0.011113429,H2BK5ac,mean_abs,15
H3K4me3,0.010249026,H2BK5ac,mean_abs,16
H2AK9ac,0.0087355785,H2BK5ac,mean_abs,17
H3K9me1,0.007910929,H2BK5ac,mean_abs,18
H4K16ac,0.0075539965,H2BK5ac,mean_abs,19
H3K4me1,0.005162101,H2BK5ac,mean_abs,20
H2AZ,0.0047428026,H2BK5ac,mean_abs,21
H3R2me1,0.004396427,H2BK5ac,mean_abs,22
H3K27me3,0.0041584074,H2BK5ac,mean_abs,23
H3K4me2,0.003739057,H2BK5ac,mean_abs,24
H4K20me1,0.0031996213,H2BK5ac,mean_abs,25
H3K36me3,0.0030934606,H2BK5ac,mean_abs,26
H3K23ac,0.002938135,H2BK5ac,mean_abs,27
H4K20me3,0.0028996316,H2BK5ac,mean_abs,28
H4K8ac,0.0027360392,H2BK5ac,mean_abs,29
H3K79me1,0.002621667,H2BK5ac,mean_abs,30
H3K79me3,0.002455517,H2BK5ac,mean_abs,31
H2A.H4R3me2,0.0023954245,H2BK5ac,mean_abs,32
H3K36me1,0.002334253,H2BK5ac,mean_abs,33
H3R2me2,0.0018950718,H2BK5ac,mean_abs,34
H3K14ac,0.0018217744,H2BK5ac,mean_abs,35
H3K9me2,0.0017736158,H2BK5ac,mean_abs,36
H3K9me3,0.0011569033,H2BK5ac,mean_abs,37
H3K79me2,0.0007408033,H2BK5ac,mean_abs,38
H2BK5me1_shap_importance.csv,,,,
H4K20me1,3.5336926,H2BK5me1,mean_abs,1
H3K4me3,1.2774637,H2BK5me1,mean_abs,2
H3K4me1,0.6793953,H2BK5me1,mean_abs,3
H3K27me1,0.53950137,H2BK5me1,mean_abs,4
H3R2me1,0.5181132,H2BK5me1,mean_abs,5
H2AZ,0.31329048,H2BK5me1,mean_abs,6
H3K9me1,0.14484073,H2BK5me1,mean_abs,7
H4K16ac,0.07818519,H2BK5me1,mean_abs,8
H4K12ac,0.06854801,H2BK5me1,mean_abs,9
H3K79me3,0.05568799,H2BK5me1,mean_abs,10
H4K20me3,0.054071136,H2BK5me1,mean_abs,11
H3K36me1,0.05004023,H2BK5me1,mean_abs,12
H3K36me3,0.044566795,H2BK5me1,mean_abs,13
H2A.H4R3me2,0.044130534,H2BK5me1,mean_abs,14
H3R2me2,0.033947796,H2BK5me1,mean_abs,15
H3K79me1,0.031588152,H2BK5me1,mean_abs,16
H3K23ac,0.030240951,H2BK5me1,mean_abs,17
H3K9ac,0.025512366,H2BK5me1,mean_abs,18
H3K27ac,0.024745066,H2BK5me1,mean_abs,19
H3K36ac,0.022121735,H2BK5me1,mean_abs,20
H4K5ac,0.021911258,H2BK5me1,mean_abs,21
H3K4me2,0.02159791,H2BK5me1,mean_abs,22
H2BK5ac,0.019411903,H2BK5me1,mean_abs,23
H2BK20ac,0.015356224,H2BK5me1,mean_abs,24
H4K8ac,0.012250962,H2BK5me1,mean_abs,25
H3K18ac,0.008846829,H2BK5me1,mean_abs,26
H2BK12ac,0.008583612,H2BK5me1,mean_abs,27
H2AK9ac,0.008497677,H2BK5me1,mean_abs,28
H4K91ac,0.008069092,H2BK5me1,mean_abs,29
H3K27me2,0.008065444,H2BK5me1,mean_abs,30
H3K9me3,0.0074894116,H2BK5me1,mean_abs,31
H2BK120ac,0.0063439594,H2BK5me1,mean_abs,32
H2AK5ac,0.005289519,H2BK5me1,mean_abs,33
H3K9me2,0.0052561294,H2BK5me1,mean_abs,34
H3K4ac,0.0051206895,H2BK5me1,mean_abs,35
H3K27me3,0.0030423389,H2BK5me1,mean_abs,36
H3K14ac,0.0030183345,H2BK5me1,mean_abs,37
H3K79me2,0.0029011543,H2BK5me1,mean_abs,38
H3K14ac_shap_importance.csv,,,,
H3K23ac,0.13957408,H3K14ac,mean_abs,1
H4K5ac,0.09917,H3K14ac,mean_abs,2
H3K4me1,0.08905035,H3K14ac,mean_abs,3
H2AK5ac,0.04407079,H3K14ac,mean_abs,4
H3K27me1,0.03821155,H3K14ac,mean_abs,5
H4K8ac,0.018765219,H3K14ac,mean_abs,6
H3K4me2,0.017697208,H3K14ac,mean_abs,7
H3K18ac,0.016924819,H3K14ac,mean_abs,8
H4K16ac,0.0148210935,H3K14ac,mean_abs,9
H3K4me3,0.014192698,H3K14ac,mean_abs,10
H3K27me2,0.012676191,H3K14ac,mean_abs,11
H4K20me1,0.009218733,H3K14ac,mean_abs,12
H3K27ac,0.005878767,H3K14ac,mean_abs,13
H3K9me2,0.0052698143,H3K14ac,mean_abs,14
H3K9me1,0.0044032354,H3K14ac,mean_abs,15
H3K36me1,0.004284317,H3K14ac,mean_abs,16
H4K12ac,0.0037524225,H3K14ac,mean_abs,17
H2A.H4R3me2,0.0037017707,H3K14ac,mean_abs,18
H3K4ac,0.0035151707,H3K14ac,mean_abs,19
H3K36me3,0.0033112287,H3K14ac,mean_abs,20
H3K9ac,0.0030244088,H3K14ac,mean_abs,21
H4K91ac,0.0027040874,H3K14ac,mean_abs,22
H3K27me3,0.0024117464,H3K14ac,mean_abs,23
H3K36ac,0.0023001272,H3K14ac,mean_abs,24
H2BK5ac,0.0019034389,H3K14ac,mean_abs,25
H3K9me3,0.0018724697,H3K14ac,mean_abs,26
H3R2me1,0.0017878364,H3K14ac,mean_abs,27
H2BK12ac,0.0017423827,H3K14ac,mean_abs,28
H4K20me3,0.0017150388,H3K14ac,mean_abs,29
H2BK20ac,0.0015869729,H3K14ac,mean_abs,30
H2BK120ac,0.0014132243,H3K14ac,mean_abs,31
H3K79me3,0.0012518341,H3K14ac,mean_abs,32
H2BK5me1,0.001170927,H3K14ac,mean_abs,33
H2AZ,0.001164667,H3K14ac,mean_abs,34
H3R2me2,0.0010377843,H3K14ac,mean_abs,35
H3K79me1,0.00094832556,H3K14ac,mean_abs,36
H2AK9ac,0.00079809595,H3K14ac,mean_abs,37
H3K79me2,0.00056589267,H3K14ac,mean_abs,38
H3K18ac_shap_importance.csv,,,,
H2BK120ac,2.0187685,H3K18ac,mean_abs,1
H3K27ac,1.0578898,H3K18ac,mean_abs,2
H2BK20ac,0.5082151,H3K18ac,mean_abs,3
H2AZ,0.50495625,H3K18ac,mean_abs,4
H4K91ac,0.38522717,H3K18ac,mean_abs,5
H3K4ac,0.36834836,H3K18ac,mean_abs,6
H4K20me1,0.121519364,H3K18ac,mean_abs,7
H4K8ac,0.11473987,H3K18ac,mean_abs,8
H4K12ac,0.08947029,H3K18ac,mean_abs,9
H3K4me1,0.08552059,H3K18ac,mean_abs,10
H3K4me3,0.0814473,H3K18ac,mean_abs,11
H4K5ac,0.07825968,H3K18ac,mean_abs,12
H3K36ac,0.070120424,H3K18ac,mean_abs,13
H2BK5me1,0.025910806,H3K18ac,mean_abs,14
H3K9me1,0.022716902,H3K18ac,mean_abs,15
H3K9ac,0.021672491,H3K18ac,mean_abs,16
H3K79me3,0.021310756,H3K18ac,mean_abs,17
H3K36me3,0.013753304,H3K18ac,mean_abs,18
H2BK12ac,0.013055948,H3K18ac,mean_abs,19
H3K27me1,0.010462879,H3K18ac,mean_abs,20
H3R2me1,0.010368818,H3K18ac,mean_abs,21
H2BK5ac,0.009848808,H3K18ac,mean_abs,22
H4K20me3,0.00816164,H3K18ac,mean_abs,23
H2AK5ac,0.007969949,H3K18ac,mean_abs,24
H3K23ac,0.007741041,H3K18ac,mean_abs,25
H4K16ac,0.0067180037,H3K18ac,mean_abs,26
H3K27me2,0.006537377,H3K18ac,mean_abs,27
H3K9me3,0.0055019227,H3K18ac,mean_abs,28
H3R2me2,0.0053219465,H3K18ac,mean_abs,29
H3K79me1,0.0050219335,H3K18ac,mean_abs,30
H3K27me3,0.0042159013,H3K18ac,mean_abs,31
H3K36me1,0.0040742857,H3K18ac,mean_abs,32
H3K4me2,0.003747499,H3K18ac,mean_abs,33
H3K14ac,0.0034247253,H3K18ac,mean_abs,34
H3K9me2,0.0025651364,H3K18ac,mean_abs,35
H2A.H4R3me2,0.0023112795,H3K18ac,mean_abs,36
H2AK9ac,0.0016707433,H3K18ac,mean_abs,37
H3K79me2,0.0007636376,H3K18ac,mean_abs,38
H3K23ac_shap_importance.csv,,,,
H3K4me2,0.26359293,H3K23ac,mean_abs,1
H4K5ac,0.16383965,H3K23ac,mean_abs,2
H3K14ac,0.10683462,H3K23ac,mean_abs,3
H3K27me1,0.06143617,H3K23ac,mean_abs,4
H4K91ac,0.056571353,H3K23ac,mean_abs,5
H3K4me1,0.046686728,H3K23ac,mean_abs,6
H3K27ac,0.042595223,H3K23ac,mean_abs,7
H4K20me1,0.039495632,H3K23ac,mean_abs,8
H3K9me1,0.03875842,H3K23ac,mean_abs,9
H3K36me3,0.038028914,H3K23ac,mean_abs,10
H2AK5ac,0.0334642,H3K23ac,mean_abs,11
H2BK5me1,0.02295248,H3K23ac,mean_abs,12
H3K4me3,0.019241305,H3K23ac,mean_abs,13
H3K79me3,0.015229518,H3K23ac,mean_abs,14
H3K9ac,0.013087992,H3K23ac,mean_abs,15
H2AZ,0.010548758,H3K23ac,mean_abs,16
H4K8ac,0.0084151635,H3K23ac,mean_abs,17
H2BK20ac,0.0073033874,H3K23ac,mean_abs,18
H2A.H4R3me2,0.0055597527,H3K23ac,mean_abs,19
H4K20me3,0.0054666568,H3K23ac,mean_abs,20
H3K18ac,0.0045273267,H3K23ac,mean_abs,21
H3R2me1,0.0044668014,H3K23ac,mean_abs,22
H2BK5ac,0.0037661947,H3K23ac,mean_abs,23
H3K36me1,0.003764354,H3K23ac,mean_abs,24
H4K12ac,0.0029567236,H3K23ac,mean_abs,25
H3K36ac,0.0024928085,H3K23ac,mean_abs,26
H2BK120ac,0.0024554878,H3K23ac,mean_abs,27
H3K4ac,0.0023508517,H3K23ac,mean_abs,28
H3K27me2,0.002312513,H3K23ac,mean_abs,29
H3K79me2,0.0022204851,H3K23ac,mean_abs,30
H3K9me2,0.001996501,H3K23ac,mean_abs,31
H2BK12ac,0.0019943723,H3K23ac,mean_abs,32
H4K16ac,0.0018704984,H3K23ac,mean_abs,33
H3K27me3,0.0017971687,H3K23ac,mean_abs,34
H3K9me3,0.0012627213,H3K23ac,mean_abs,35
H3K79me1,0.0011951092,H3K23ac,mean_abs,36
H3R2me2,0.00097179296,H3K23ac,mean_abs,37
H2AK9ac,0.0009012538,H3K23ac,mean_abs,38
H3K27ac_shap_importance.csv,,,,
H2BK5ac,2.8877046,H3K27ac,mean_abs,1
H3K18ac,1.1513857,H3K27ac,mean_abs,2
H3K9ac,1.0220666,H3K27ac,mean_abs,3
H3K4me3,0.40985325,H3K27ac,mean_abs,4
H4K5ac,0.33928478,H3K27ac,mean_abs,5
H2BK120ac,0.18596052,H3K27ac,mean_abs,6
H4K8ac,0.17687124,H3K27ac,mean_abs,7
H2AZ,0.12348012,H3K27ac,mean_abs,8
H4K12ac,0.06527699,H3K27ac,mean_abs,9
