feature,importance,target,method,rank
H3K4me1,0.52538776,H3K27me1,mean_abs,1
H3K4me3,0.40235725,H3K27me1,mean_abs,2
H3K9me1,0.39083883,H3K27me1,mean_abs,3
H2BK5me1,0.2884508,H3K27me1,mean_abs,4
H3K36me3,0.16137597,H3K27me1,mean_abs,5
H4K20me1,0.12806031,H3K27me1,mean_abs,6
H3K23ac,0.105675265,H3K27me1,mean_abs,7
H3K27me2,0.09549842,H3K27me1,mean_abs,8
H2AZ,0.0787758,H3K27me1,mean_abs,9
H3K4me2,0.07370267,H3K27me1,mean_abs,10
H4K5ac,0.047547247,H3K27me1,mean_abs,11
H4K8ac,0.04425053,H3K27me1,mean_abs,12
H2BK5ac,0.029762197,H3K27me1,mean_abs,13
H2AK5ac,0.022449853,H3K27me1,mean_abs,14
H3K14ac,0.017777164,H3K27me1,mean_abs,15
H3K36me1,0.012676394,H3K27me1,mean_abs,16
H4K16ac,0.0068485066,H3K27me1,mean_abs,17
H2A.H4R3me2,0.0065331603,H3K27me1,mean_abs,18
H3K27ac,0.0062240683,H3K27me1,mean_abs,19
H2BK12ac,0.006183451,H3K27me1,mean_abs,20
H3K9me2,0.0058299657,H3K27me1,mean_abs,21
H3K79me3,0.0054731476,H3K27me1,mean_abs,22
H3R2me1,0.005293729,H3K27me1,mean_abs,23
H4K12ac,0.004837051,H3K27me1,mean_abs,24
H3K9me3,0.0044523417,H3K27me1,mean_abs,25
H3K79me1,0.00399575,H3K27me1,mean_abs,26
H3K36ac,0.003890363,H3K27me1,mean_abs,27
H2BK120ac,0.0036115972,H3K27me1,mean_abs,28
H3K27me3,0.002825113,H3K27me1,mean_abs,29
H3K9ac,0.0025485654,H3K27me1,mean_abs,30
H4K20me3,0.0024877402,H3K27me1,mean_abs,31
H3K18ac,0.0024616814,H3K27me1,mean_abs,32
H4K91ac,0.0023017721,H3K27me1,mean_abs,33
H3K79me2,0.0019668858,H3K27me1,mean_abs,34
H3K4ac,0.0018292036,H3K27me1,mean_abs,35
H2AK9ac,0.0017130432,H3K27me1,mean_abs,36
H3R2me2,0.0016202647,H3K27me1,mean_abs,37
H2BK20ac,0.0014924775,H3K27me1,mean_abs,38
