feature,importance,target,method,rank
H2BK5me1,6.075146,H4K20me1,mean_abs,1
H2AZ,1.8829826,H4K20me1,mean_abs,2
H3K27me1,1.1062821,H4K20me1,mean_abs,3
H3K4me3,0.6895377,H4K20me1,mean_abs,4
H3K18ac,0.6406093,H4K20me1,mean_abs,5
H4K8ac,0.4463972,H4K20me1,mean_abs,6
H4K5ac,0.41477755,H4K20me1,mean_abs,7
H3K27me2,0.3575313,H4K20me1,mean_abs,8
H3K36ac,0.28372458,H4K20me1,mean_abs,9
H3K9me1,0.28258002,H4K20me1,mean_abs,10
H3K23ac,0.24852876,H4K20me1,mean_abs,11
H3K9me2,0.17256019,H4K20me1,mean_abs,12
H2AK5ac,0.14840196,H4K20me1,mean_abs,13
H3K36me3,0.1412767,H4K20me1,mean_abs,14
H3K79me1,0.12530108,H4K20me1,mean_abs,15
H4K20me3,0.097685285,H4K20me1,mean_abs,16
H3R2me1,0.08073402,H4K20me1,mean_abs,17
H2BK20ac,0.058287345,H4K20me1,mean_abs,18
H3K14ac,0.048047397,H4K20me1,mean_abs,19
H3K79me3,0.046776116,H4K20me1,mean_abs,20
H3R2me2,0.04664851,H4K20me1,mean_abs,21
H3K4me2,0.043899626,H4K20me1,mean_abs,22
H3K9ac,0.035717435,H4K20me1,mean_abs,23
H3K4me1,0.031723753,H4K20me1,mean_abs,24
H2BK12ac,0.031591706,H4K20me1,mean_abs,25
H3K4ac,0.030044133,H4K20me1,mean_abs,26
H2BK5ac,0.028074265,H4K20me1,mean_abs,27
H4K12ac,0.022699816,H4K20me1,mean_abs,28
H3K27ac,0.018705701,H4K20me1,mean_abs,29
H4K16ac,0.018509371,H4K20me1,mean_abs,30
H2BK120ac,0.017798236,H4K20me1,mean_abs,31
H2AK9ac,0.017514221,H4K20me1,mean_abs,32
H3K27me3,0.017208809,H4K20me1,mean_abs,33
H4K91ac,0.01644101,H4K20me1,mean_abs,34
H3K36me1,0.01393531,H4K20me1,mean_abs,35
H2A.H4R3me2,0.010001857,H4K20me1,mean_abs,36
H3K9me3,0.004365949,H4K20me1,mean_abs,37
H3K79me2,0.002357317,H4K20me1,mean_abs,38
