feature,importance,target,method,rank
H3K9me3,0.5285412,H4K20me3,mean_abs,1
H3K79me3,0.4647251,H4K20me3,mean_abs,2
H3K9me1,0.17500408,H4K20me3,mean_abs,3
H4K20me1,0.06527427,H4K20me3,mean_abs,4
H3R2me1,0.05092717,H4K20me3,mean_abs,5
H3K4me2,0.040651843,H4K20me3,mean_abs,6
H3K4me3,0.038569182,H4K20me3,mean_abs,7
H3R2me2,0.03102942,H4K20me3,mean_abs,8
H2A.H4R3me2,0.030522225,H4K20me3,mean_abs,9
H4K5ac,0.026121281,H4K20me3,mean_abs,10
H3K18ac,0.025629116,H4K20me3,mean_abs,11
H3K36me3,0.020539073,H4K20me3,mean_abs,12
H3K27me1,0.019249693,H4K20me3,mean_abs,13
H3K23ac,0.016956886,H4K20me3,mean_abs,14
H2BK5me1,0.016912464,H4K20me3,mean_abs,15
H4K12ac,0.015079739,H4K20me3,mean_abs,16
H3K9me2,0.012776409,H4K20me3,mean_abs,17
H2BK120ac,0.009649178,H4K20me3,mean_abs,18
H3K4me1,0.009630523,H4K20me3,mean_abs,19
H3K27me3,0.007640561,H4K20me3,mean_abs,20
H4K91ac,0.00758967,H4K20me3,mean_abs,21
H3K27me2,0.007570675,H4K20me3,mean_abs,22
H3K9ac,0.0063570053,H4K20me3,mean_abs,23
H3K36me1,0.006328375,H4K20me3,mean_abs,24
H4K16ac,0.0063196104,H4K20me3,mean_abs,25
H3K27ac,0.0050294576,H4K20me3,mean_abs,26
H2BK20ac,0.00476124,H4K20me3,mean_abs,27
H3K36ac,0.004497718,H4K20me3,mean_abs,28
H2AK5ac,0.0041081244,H4K20me3,mean_abs,29
H3K14ac,0.0040720105,H4K20me3,mean_abs,30
H2AZ,0.0034449943,H4K20me3,mean_abs,31
H4K8ac,0.00328857,H4K20me3,mean_abs,32
H3K4ac,0.0031273637,H4K20me3,mean_abs,33
H2AK9ac,0.002718698,H4K20me3,mean_abs,34
H3K79me1,0.002370071,H4K20me3,mean_abs,35
H2BK12ac,0.0020833544,H4K20me3,mean_abs,36
H2BK5ac,0.0019302915,H4K20me3,mean_abs,37
H3K79me2,0.0013308238,H4K20me3,mean_abs,38
