feature,importance,target,method,rank
H2BK20ac,3.525493,H4K12ac,mean_abs,1
H2BK120ac,0.27972478,H4K12ac,mean_abs,2
H4K8ac,0.17679843,H4K12ac,mean_abs,3
H4K5ac,0.08203505,H4K12ac,mean_abs,4
H3K4ac,0.054840364,H4K12ac,mean_abs,5
H3K27ac,0.04538724,H4K12ac,mean_abs,6
H3K4me3,0.031007538,H4K12ac,mean_abs,7
H3K18ac,0.02207097,H4K12ac,mean_abs,8
H4K16ac,0.018321954,H4K12ac,mean_abs,9
H2BK5ac,0.01808177,H4K12ac,mean_abs,10
H3K23ac,0.014523957,H4K12ac,mean_abs,11
H3K14ac,0.011859705,H4K12ac,mean_abs,12
H4K20me1,0.011419708,H4K12ac,mean_abs,13
H2BK12ac,0.010001192,H4K12ac,mean_abs,14
H3K36me3,0.008903827,H4K12ac,mean_abs,15
H3K36ac,0.007983446,H4K12ac,mean_abs,16
H3K27me1,0.0069528655,H4K12ac,mean_abs,17
H3K9me1,0.0068147657,H4K12ac,mean_abs,18
H4K91ac,0.0061818636,H4K12ac,mean_abs,19
H3K9ac,0.0052419784,H4K12ac,mean_abs,20
H2AZ,0.004947202,H4K12ac,mean_abs,21
H2AK9ac,0.0047062663,H4K12ac,mean_abs,22
H2A.H4R3me2,0.0037524588,H4K12ac,mean_abs,23
H2BK5me1,0.0037144648,H4K12ac,mean_abs,24
H3K79me3,0.0025554537,H4K12ac,mean_abs,25
H3K4me1,0.002550531,H4K12ac,mean_abs,26
H2AK5ac,0.002281086,H4K12ac,mean_abs,27
H4K20me3,0.002132183,H4K12ac,mean_abs,28
H3K4me2,0.0020938935,H4K12ac,mean_abs,29
H3R2me2,0.001982795,H4K12ac,mean_abs,30
H3K9me3,0.0016140979,H4K12ac,mean_abs,31
H3K9me2,0.0015218288,H4K12ac,mean_abs,32
H3K79me1,0.0014700547,H4K12ac,mean_abs,33
H3R2me1,0.0012779421,H4K12ac,mean_abs,34
H3K36me1,0.0010513815,H4K12ac,mean_abs,35
H3K27me3,0.00081533997,H4K12ac,mean_abs,36
H3K79me2,0.00079201907,H4K12ac,mean_abs,37
H3K27me2,0.0007542369,H4K12ac,mean_abs,38
