feature,importance,target,method,rank
H3K23ac,0.013262894,H3K79me2,mean_abs,1
H3K27me2,0.009024065,H3K79me2,mean_abs,2
H3K27me1,0.008830854,H3K79me2,mean_abs,3
H2A.H4R3me2,0.007934214,H3K79me2,mean_abs,4
H3K9me2,0.0040506967,H3K79me2,mean_abs,5
H3K4me2,0.0037178367,H3K79me2,mean_abs,6
H3K4me3,0.003324615,H3K79me2,mean_abs,7
H2AK5ac,0.0029022612,H3K79me2,mean_abs,8
H3K36me3,0.0025659997,H3K79me2,mean_abs,9
H4K91ac,0.0021528727,H3K79me2,mean_abs,10
H3K27me3,0.001930197,H3K79me2,mean_abs,11
H4K20me1,0.0017871775,H3K79me2,mean_abs,12
H3K36me1,0.0016881074,H3K79me2,mean_abs,13
H3K9me3,0.0012974653,H3K79me2,mean_abs,14
H2AZ,0.0012009715,H3K79me2,mean_abs,15
H3K79me1,0.00072341337,H3K79me2,mean_abs,16
H4K5ac,0.00072297803,H3K79me2,mean_abs,17
H4K20me3,0.0006887855,H3K79me2,mean_abs,18
H2AK9ac,0.0005652042,H3K79me2,mean_abs,19
H3R2me2,0.00053115963,H3K79me2,mean_abs,20
H3K79me3,0.00051388703,H3K79me2,mean_abs,21
H3R2me1,0.00048085736,H3K79me2,mean_abs,22
H3K9me1,0.00046188402,H3K79me2,mean_abs,23
H2BK5ac,0.00045165225,H3K79me2,mean_abs,24
H3K14ac,0.0004125733,H3K79me2,mean_abs,25
H2BK120ac,0.00038440138,H3K79me2,mean_abs,26
H3K36ac,0.0003784536,H3K79me2,mean_abs,27
H3K27ac,0.000368769,H3K79me2,mean_abs,28
H3K4me1,0.0003424276,H3K79me2,mean_abs,29
H4K8ac,0.00034123342,H3K79me2,mean_abs,30
H2BK12ac,0.00033006963,H3K79me2,mean_abs,31
H4K16ac,0.00031788443,H3K79me2,mean_abs,32
H2BK20ac,0.0002512546,H3K79me2,mean_abs,33
H3K9ac,0.00024110821,H3K79me2,mean_abs,34
H2BK5me1,0.00021714694,H3K79me2,mean_abs,35
H3K18ac,0.00016684766,H3K79me2,mean_abs,36
H4K12ac,0.00016270825,H3K79me2,mean_abs,37
H3K4ac,0.00012311328,H3K79me2,mean_abs,38
