feature,importance,target,method,rank
H4K91ac,0.54738826,H4K16ac,mean_abs,1
H2BK120ac,0.18603055,H4K16ac,mean_abs,2
H2BK5me1,0.1825433,H4K16ac,mean_abs,3
H3K4ac,0.16802701,H4K16ac,mean_abs,4
H4K8ac,0.14966503,H4K16ac,mean_abs,5
H3K9ac,0.07469128,H4K16ac,mean_abs,6
H4K12ac,0.029739678,H4K16ac,mean_abs,7
H4K5ac,0.029537015,H4K16ac,mean_abs,8
H2AK9ac,0.020480998,H4K16ac,mean_abs,9
H2A.H4R3me2,0.01583286,H4K16ac,mean_abs,10
H3K9me1,0.015111699,H4K16ac,mean_abs,11
H3K4me3,0.014534939,H4K16ac,mean_abs,12
H3K14ac,0.010456947,H4K16ac,mean_abs,13
H2BK5ac,0.008789705,H4K16ac,mean_abs,14
H3K4me2,0.0064916546,H4K16ac,mean_abs,15
H4K20me1,0.0059405994,H4K16ac,mean_abs,16
H3R2me1,0.005535745,H4K16ac,mean_abs,17
H3K27me1,0.005058955,H4K16ac,mean_abs,18
H2BK20ac,0.004444667,H4K16ac,mean_abs,19
H3K9me2,0.0044365954,H4K16ac,mean_abs,20
H3K9me3,0.0042932117,H4K16ac,mean_abs,21
H3K36ac,0.0040523494,H4K16ac,mean_abs,22
H3K27ac,0.0039692065,H4K16ac,mean_abs,23
H3K4me1,0.0039671226,H4K16ac,mean_abs,24
H3K79me1,0.0033433475,H4K16ac,mean_abs,25
H3K18ac,0.0032093904,H4K16ac,mean_abs,26
H2BK12ac,0.0030049973,H4K16ac,mean_abs,27
H3R2me2,0.0027462193,H4K16ac,mean_abs,28
H3K36me3,0.0026734339,H4K16ac,mean_abs,29
H2AK5ac,0.0023285444,H4K16ac,mean_abs,30
H3K79me3,0.0022095477,H4K16ac,mean_abs,31
H4K20me3,0.0021515961,H4K16ac,mean_abs,32
H2AZ,0.0020543982,H4K16ac,mean_abs,33
H3K36me1,0.0015127539,H4K16ac,mean_abs,34
H3K27me2,0.0014882023,H4K16ac,mean_abs,35
H3K23ac,0.0013746872,H4K16ac,mean_abs,36
H3K27me3,0.0009776257,H4K16ac,mean_abs,37
H3K79me2,0.00082142703,H4K16ac,mean_abs,38
