,tc_value,mmi_value
H3K4ac_H4K16ac_H4R3me2s,1.2213570130259424,-0.48344692568411674
H3K18ac_H3K36me3_H2AS129ph,1.0856827492662493,-0.45672842819973525
H3K4me3_H3K36me2_H3K36me3,1.2477427948380075,-0.44756749048394084
H3K4me3_H3K36me3_H2AS129ph,1.0175196730946467,-0.4361387157559431
H3K14ac_H3K4me2_H3K4me,1.5862142611978296,-0.4334172711250144
H3K4me2_H3K36me2_H3K36me3,1.2788073495616494,-0.4233447429288688
H3K14ac_H3K4me2_H3K36me3,1.3765673494547155,-0.420397513360415
H3K18ac_H3K4me2_H3K36me3,1.3454457424087884,-0.4189397142618425
H4K8ac_H4K16ac_H4R3me2s,1.0891478900376868,-0.41668590362863256
H3K4me2_H3K4me_H3K36me3,1.1977344108208001,-0.4126065088864017
H3K4me3_H4K16ac_H3K36me3,0.7710649008870973,-0.40656009132734994
H3K14ac_H4K16ac_H4R3me2s,1.0711838127118103,-0.40456702878855033
H3K4me2_H3K4me_H3K79me3,1.0891629925884452,-0.4026713469176215
H3K4me3_H3K36me2_H3K79me3,1.056409212239588,-0.3951213567781604
H3K23ac_H4K16ac_H4R3me2s,1.0686713262396736,-0.3924620569943933
H3K18ac_H3K4me3_H3K79me3,1.700598291772069,-0.3922873277890009
H3K18ac_H3K4me2_H3K4me,1.5681126505806198,-0.389189283375444
H3K79me_H4K16ac_H3K79me3,0.9718564587569531,-0.38611003100636765
H3K18ac_H4K16ac_H3K36me3,0.877199474311837,-0.3855535753853374
H3K14ac_H3K36me3_H2AS129ph,0.9838148030124501,-0.3815039255882695
H3K9ac_H4K16ac_H4R3me2s,1.108763845423864,-0.3789380285854431
H3K14ac_H3K4me3_H3K79me,1.621887331579547,-0.37738092495856534
H3K4ac_H3K4me2_H3K4me,1.1841697003454996,-0.37682884093788793
H3K4me2_H3K36me3_H2AS129ph,0.7533094505831297,-0.3757553294214926
H3K4me2_H3K4me_H4R3me2s,1.1435404900062807,-0.3756039426151041
H3K4me3_H3K79me_H3K36me3,0.9543862155918728,-0.37520188077813366
H3K36me3_H4R3me2s_H2AS129ph,1.2504329243880488,-0.37009495741807363
