,H3K36me2,H4K8ac,H3K4ac,H3K27ac,H3K36me3,H3K4me,H4R3me,H3K79me3,H3K14ac,H2AK5ac,H3K18ac,H3K4me3,H4K16ac,H3K36me,H3K9ac,H4K20me,Htz1,H3K23ac,H3K56ac,H3S10ph,H4R3me2s,H2AS129ph,H3K79me,H3K4me2
H4K5ac_H4K12ac,1.1862507963253872,2.153095238806644,1.5254326753864191,1.3037303866249825,1.4290505387492445,1.1626117846108208,1.2990303482609313,1.3252891552447768,1.532134501349745,1.7097110707815162,1.531382383816414,1.367453138918604,1.110597269454173,1.172206974776147,1.3611818997088747,1.105814298268129,1.2860415854893184,1.5186399674814552,1.347638254567416,1.042126683338621,1.4268995120176236,1.1319308326632846,1.1569009304395053,1.26488658469178
H4K5ac_H4K12ac,1.1862507963253872,2.153095238806644,1.5254326753864191,1.3037303866249825,1.4290505387492445,1.1626117846108208,1.2990303482609313,1.3252891552447768,1.532134501349745,1.7097110707815162,1.531382383816414,1.367453138918604,1.110597269454173,1.172206974776147,1.3611818997088747,1.105814298268129,1.2860415854893184,1.5186399674814552,1.347638254567416,1.042126683338621,1.4268995120176236,1.1319308326632846,1.1569009304395053,1.26488658469178
H4K5ac_H4K12ac,1.1862507963253872,2.153095238806644,1.5254326753864191,1.3037303866249825,1.4290505387492445,1.1626117846108208,1.2990303482609313,1.3252891552447768,1.532134501349745,1.7097110707815162,1.531382383816414,1.367453138918604,1.110597269454173,1.172206974776147,1.3611818997088747,1.105814298268129,1.2860415854893184,1.5186399674814552,1.347638254567416,1.042126683338621,1.4268995120176236,1.1319308326632846,1.1569009304395053,1.26488658469178
H4K5ac_H4K12ac,1.1862507963253872,2.153095238806644,1.5254326753864191,1.3037303866249825,1.4290505387492445,1.1626117846108208,1.2990303482609313,1.3252891552447768,1.532134501349745,1.7097110707815162,1.531382383816414,1.367453138918604,1.110597269454173,1.172206974776147,1.3611818997088747,1.105814298268129,1.2860415854893184,1.5186399674814552,1.347638254567416,1.042126683338621,1.4268995120176236,1.1319308326632846,1.1569009304395053,1.26488658469178
H4K5ac_H4K12ac,1.1862507963253872,2.153095238806644,1.5254326753864191,1.3037303866249825,1.4290505387492445,1.1626117846108208,1.2990303482609313,1.3252891552447768,1.532134501349745,1.7097110707815162,1.531382383816414,1.367453138918604,1.110597269454173,1.172206974776147,1.3611818997088747,1.105814298268129,1.2860415854893184,1.5186399674814552,1.347638254567416,1.042126683338621,1.4268995120176236,1.1319308326632846,1.1569009304395053,1.26488658469178
H4K5ac_H4K12ac,1.1862507963253872,2.153095238806644,1.5254326753864191,1.3037303866249825,1.4290505387492445,1.1626117846108208,1.2990303482609313,1.3252891552447768,1.532134501349745,1.7097110707815162,1.531382383816414,1.367453138918604,1.110597269454173,1.172206974776147,1.3611818997088747,1.105814298268129,1.2860415854893184,1.5186399674814552,1.347638254567416,1.042126683338621,1.4268995120176236,1.1319308326632846,1.1569009304395053,1.26488658469178
H4K5ac_H4K12ac,1.1862507963253872,2.153095238806644,1.5254326753864191,1.3037303866249825,1.4290505387492445,1.1626117846108208,1.2990303482609313,1.3252891552447768,1.532134501349745,1.7097110707815162,1.531382383816414,1.367453138918604,1.110597269454173,1.172206974776147,1.3611818997088747,1.105814298268129,1.2860415854893184,1.5186399674814552,1.347638254567416,1.042126683338621,1.4268995120176236,1.1319308326632846,1.1569009304395053,1.26488658469178
H4K5ac_H4K12ac,1.1862507963253872,2.153095238806644,1.5254326753864191,1.3037303866249825,1.4290505387492445,1.1626117846108208,1.2990303482609313,1.3252891552447768,1.532134501349745,1.7097110707815162,1.531382383816414,1.367453138918604,1.110597269454173,1.172206974776147,1.3611818997088747,1.105814298268129,1.2860415854893184,1.5186399674814552,1.347638254567416,1.042126683338621,1.4268995120176236,1.1319308326632846,1.1569009304395053,1.26488658469178
H4K5ac_H4K12ac,1.1862507963253872,2.153095238806644,1.5254326753864191,1.3037303866249825,1.4290505387492445,1.1626117846108208,1.2990303482609313,1.3252891552447768,1.532134501349745,1.7097110707815162,1.531382383816414,1.367453138918604,1.110597269454173,1.172206974776147,1.3611818997088747,1.105814298268129,1.2860415854893184,1.5186399674814552,1.347638254567416,1.042126683338621,1.4268995120176236,1.1319308326632846,1.1569009304395053,1.26488658469178
H4K5ac_H4K12ac,1.1862507963253872,2.153095238806644,1.5254326753864191,1.3037303866249825,1.4290505387492445,1.1626117846108208,1.2990303482609313,1.3252891552447768,1.532134501349745,1.7097110707815162,1.531382383816414,1.367453138918604,1.110597269454173,1.172206974776147,1.3611818997088747,1.105814298268129,1.2860415854893184,1.5186399674814552,1.347638254567416,1.042126683338621,1.4268995120176236,1.1319308326632846,1.1569009304395053,1.26488658469178
H4K5ac_H4K12ac,1.1862507963253872,2.153095238806644,1.5254326753864191,1.3037303866249825,1.4290505387492445,1.1626117846108208,1.2990303482609313,1.3252891552447768,1.532134501349745,1.7097110707815162,1.531382383816414,1.367453138918604,1.110597269454173,1.172206974776147,1.3611818997088747,1.105814298268129,1.2860415854893184,1.5186399674814552,1.347638254567416,1.042126683338621,1.4268995120176236,1.1319308326632846,1.1569009304395053,1.26488658469178
