,tc_value,mmi_value
H3K4me1_H3K4me2_H3K4me3,1.1874733306179213,-0.640084560731248
H3K4me2_H3K4me3_H4K91ac,0.9425903456621807,-0.5417880556802928
H3K4me1_H3K4me3_H4K91ac,0.9993584659289745,-0.5215488072125058
H3K4me1_H3K4me2_H4K20me1,0.7323250040842133,-0.5072833745469705
H3K4me1_H3K4me3_H3K9me1,0.9620396396865534,-0.4956949715991179
H3K4me1_H3K4me3_H4K20me1,0.9474850931838148,-0.4902555830883557
H3K4me2_H3K4me3_H4K20me1,0.863108657972516,-0.4871932937549932
H3K4me1_H3K4me2_H4K91ac,0.6901547104454657,-0.4675126125528486
H3K4me3_H3K9me1_H4K20me1,0.6939925009615209,-0.43601642001701
H2BK5me1_H3K4me1_H3K4me2,0.7640146350844148,-0.42739895982571596
H3K4me3_H3K9me1_H4K91ac,0.6810230583527801,-0.4204957774150895
H3K4me1_H3K4me2_H3K27ac,0.6813987750228296,-0.4186737697796534
H3K4me1_H3K4me3_H4K12ac,0.8327912928307146,-0.4148534045767711
H3K4me1_H3K4me3_H3K27ac,1.0844445108222764,-0.40961459322101845
H3K4me2_H3K4me3_H4K12ac,0.7857577494479315,-0.4096056794592968
H2BK5me1_H3K4me1_H4K20me1,1.1790911624130995,-0.4090328159810568
H3K4me1_H3K4me3_H3K18ac,0.9814974802492422,-0.4053992264448958
H3K4me1_H4K20me1_H4K91ac,0.6344013354959372,-0.4052930877963661
H3K4me2_H3K4me3_H3K27ac,1.0456785055273414,-0.40330353866829327
H3K4me1_H3K9me1_H4K20me1,0.6839664618075112,-0.39784421955710414
H3K4me2_H3K4me3_H3K9me1,1.0699075930108837,-0.39392749463329757
H3K4me2_H3K4me3_H2BK120ac,0.8604249085085129,-0.38712928617600895
H3K4me2_H3K27ac_H4K91ac,0.9324470850740401,-0.38695942156460816
H3K4me1_H3K4me2_H3K18ac,0.6223227245385381,-0.3848479824439366
H3K4me1_H3K4me3_H2BK120ac,0.9061792574763743,-0.3825838563625279
H2BK5me1_H3K4me2_H3K4me3,0.8560828900419857,-0.37836831206898935
H3K4me1_H3K4me3_H2BK20ac,0.8061498615490059,-0.3781706665888187
H3K4me2_H3K4me3_H3K18ac,0.9176973085887496,-0.37776591956433947
H3K4me1_H3K4me2_H2BK120ac,0.5853815673316358,-0.37145740418403506
H3K4me1_H3K4me2_H4K12ac,0.5712811328987772,-0.37072552441502005
H3K4me3_H4K20me1_H4K91ac,0.7706473603551789,-0.36709226991967725
H3K4me2_H3K4me3_H2BK20ac,0.7482347379018357,-0.3630905324800402
H2BK5me1_H3K4me2_H4K20me1,0.9349726041264486,-0.35086594710093877
H3K4me2_H4K20me1_H4K91ac,0.523265854076957,-0.35074904048001443
H2BK5me1_H3K4me3_H3K9me1,0.7117138709893851,-0.3480293399067733
H3K4me1_H3K9me1_H4K91ac,0.607530874562169,-0.34614388972759613
H2BK5me1_H3K4me1_H4K91ac,0.67509340384529,-0.3436353111252064
H3K4me1_H3K4me2_H2BK20ac,0.533121840892349,-0.3416945155810982
H3K4me1_H3K4me3_H4K5ac,0.7491259385326767,-0.3409019358624814
H3K4me3_H3K9me1_H3K27ac,0.7896644135886834,-0.3305797893192981
H3K4me1_H3K27ac_H4K91ac,0.8821391018137366,-0.32891919933740965
H2AZ_H3K4me1_H3K4me2,0.5963027615112768,-0.32725744595626516
H2BK5me1_H3K4me1_H3K4me3,1.0108514393381949,-0.32676923732667085
H3K4me2_H3K4me3_H4K5ac,0.7171420293770581,-0.31876341093322935
H3K4me3_H3K9me1_H4K12ac,0.5502982162063592,-0.31644243464062605
H2AZ_H3K4me2_H4K91ac,0.5683546109418565,-0.31556409388383955
H3K4me2_H3K18ac_H4K91ac,0.9873599047122248,-0.3138905676424031
H2BK5me1_H3K4me1_H3K9me1,0.7144703808976818,-0.3128648565431611
H3K4me2_H3K4me3_H3K4ac,0.7044915086649635,-0.31244459533309943
H3K4me2_H3K9me1_H4K20me1,0.8242025834632649,-0.3080289762907533
H3K4me1_H3K4me3_H3K4ac,0.7583406219332733,-0.3074903420869699
H3K4me3_H3K9me1_H2BK120ac,0.623609949279512,-0.3060562724453266
H3K4me1_H4K20me1_H4K12ac,0.5509492130454738,-0.3058436000253568
H3K4me3_H3K9me1_H3K18ac,0.6772568699425072,-0.30403782140555435
H3K4me1_H3K4me2_H3K9ac,0.6237026539227468,-0.29993282263223975
H3K4me2_H3K9ac_H4K91ac,0.7509807594874705,-0.29985386126473657
H3K4me2_H3K4me3_H3K36ac,0.7386377668677611,-0.29910786955406365
H3K4me1_H3K4me2_H4K5ac,0.5302071370041013,-0.2990990246302836
H3K4me1_H3K4me3_H4K8ac,0.7134699183450444,-0.29858773644171066
H2BK5me1_H3K9me1_H4K20me1,0.9102389454852755,-0.29803762083776064
H3K4me1_H3K9me1_H3K27ac,0.5561464404495329,-0.2976918818098948
H2BK5me1_H3K4me2_H4K91ac,0.44545979363055643,-0.29564661317365015
H3K4me1_H4K20me1_H3K18ac,0.6080534607212016,-0.29519509206100736
H3K4me1_H3K4me2_H3K4ac,0.4885297490066396,-0.2939586074918008
H3K4me1_H4K20me1_H3K27ac,0.5891116572631248,-0.2939493514807072
H3K4me1_H3K9me1_H3K18ac,0.5396865735738512,-0.28990427598055923
H3K4me2_H3K9me1_H4K91ac,0.785494008771968,-0.2897488818719438
H2AZ_H3K4me2_H3K4me3,0.9825284307723905,-0.2890082885790761
H3K4me2_H4K91ac_H2BK120ac,1.026687728697837,-0.28805761654782636
H3K9me1_H3K27ac_H4K91ac,0.7691556278304752,-0.2871693181696031
H3K4me2_H3K27ac_H4K12ac,0.8793475671113775,-0.28716613816582814
H3K9me1_H4K20me1_H4K91ac,0.4605480694802928,-0.2861815504152112
H3K4me2_H3K4me3_H3K27me1,0.616678905999704,-0.28543909702329273
H3K4me2_H3K4me3_H2BK12ac,0.6364000282365847,-0.2852913992443913
H3K4me2_H3K4me3_H4K8ac,0.690697662268553,-0.2846172479298552
H3K4me2_H4K12ac_H4K91ac,0.9182613534186288,-0.283697003203617
